Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN), Region _______ _________ (AR), Region _______ _________ (EN),Curriculum _______(AR),Curriculum _______(EN),Students Gender ___ ______ (AR),Students Gender ___ ______ (EN),Schools Count ___ _______
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,______ ___________ _________,ATHS,____,Girls,1
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,______ ___________ _________,ATHS,____,Boys,1
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,______ ___________ _________,ATHS,____,Boys,1
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,______ ___________ _________,ATHS,____,Boys,1
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,______ ___________ _________,ATHS,____,Boys,1
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___ ______,Ras Al Khaimah,______ ___________ _________,ATHS,____,Boys,1
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,______ ___________ _________,ATHS,____,Girls,1
2021-2022,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,______ ___________ _________,ATHS,____,Boys,1
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,_____ _____ _______ ________,U.A.E,_____,Co Edu,23
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,_____ _____ _______ ________;_______ ______ _______ _______ (GCSE),U.A.E;G.C.S.E,_____,Co Edu,1
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,_____ _____ _______ ________,U.A.E,_____,Co Edu,1
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,_____ _____ _______ ________,U.A.E,____,Girls,1
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,_____ _____ _______ ________,U.A.E,____,Boys,2
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,_____ _____ _______ ________,U.A.E,_____,Co Edu,26
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,_____ _____ _______ ________,U.A.E,_____,Co Edu,2
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,_____ _____ _______ ________,U.A.E;Charter Schools-ADEK,_____,Co Edu,1
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,_____ _____ _______ ________,U.A.E,_____,Co Edu,20
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,_____ _____ _______ ________,U.A.E,_____,Co Edu,4
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_____ _____ _______ ________,U.A.E,____,Girls,1
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_____ _____ _______ ________,U.A.E,____,Boys,2
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,_____ _____ _______ ________,U.A.E,_____,Co Edu,11
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,_____ _____ _______ ________,U.A.E,____,Girls,2
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,_____ _____ _______ ________,U.A.E,____,Boys,2
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,_____ _____ _______ ________,U.A.E,_____,Co Edu,11
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,_____ _____ _______ ________,U.A.E,____,Boys,1
2021-2022,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,_____ _____ _______ ________,U.A.E,_____,Co Edu,13
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,__ _______,Umm Al Quwain,_______ ________,American,_____,Co Edu,2
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,__ _______,Umm Al Quwain,_______ _____,Special,_____,Co Edu,1
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,__ _______,Umm Al Quwain,_______ ______,Indian,_____,Co Edu,3
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,_______ ______ _______ _______ (GCSE),G.C.S.E,_____,Co Edu,4
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,_______ ________,American,_____,Co Edu,2
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,_______ __________,Pakistani,_____,Co Edu,1
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,_______ ______,Indian,_____,Co Edu,5
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,__________ _______,I.B.,_____,Co Edu,1
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_______ ______ _______ _______ (GCSE),G.C.S.E,_____,Co Edu,7
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_______ ________,American,_____,Co Edu,3
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_______ __________,Pakistani,_____,Co Edu,1
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_______ ___________,Bangladeshi,_____,Co Edu,1
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_______ _____,Special,_____,Co Edu,1
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,_______ ______,Indian,_____,Co Edu,7
2021-2022,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,__________ _______,I.B.,_____,Co Edu,1
