Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN), Region _______ _________ (AR), Region _______ _________ (EN),Cycle ______ (AR),Cycle ______ (EN),Grade ____ (AR),Grade ____ (EN),Gender _____ (AR),Gender _____ (EN),Emirati\Resident _______/____ (AR),Emirati\Resident _______/____ (EN),Students Count ___ ______
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 8,____,Female,_______,Emirati,17
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 8,____,Female,____,Resident,661
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 8,___,Male,_______,Emirati,38
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 8,___,Male,____,Resident,713
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 5,____,Female,_______,Emirati,18
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 5,____,Female,____,Resident,857
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 5,___,Male,_______,Emirati,39
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 5,___,Male,____,Resident,899
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 7,____,Female,_______,Emirati,15
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 7,____,Female,____,Resident,744
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 7,___,Male,_______,Emirati,41
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 7,___,Male,____,Resident,820
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 6,____,Female,_______,Emirati,24
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 6,____,Female,____,Resident,776
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 6,___,Male,_______,Emirati,44
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 6,___,Male,____,Resident,850
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle3,____ ______,Grade 9,____,Female,_______,Emirati,10
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle3,____ ______,Grade 9,____,Female,____,Resident,529
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle3,____ ______,Grade 9,___,Male,_______,Emirati,47
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle3,____ ______,Grade 9,___,Male,____,Resident,700
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,_______,Emirati,14
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,____,Resident,471
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,_______,Emirati,29
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,____,Resident,470
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,_______,Emirati,13
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,____,Resident,457
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,_______,Emirati,31
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,____,Resident,510
