Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN), Region _______ _________ (AR), Region _______ _________ (EN),Gender _____ (AR),Gender _____ (EN),Emirati\Resident _______/____ (AR),Emirati\Resident _______/____ (EN),Staff Count ___ ______ _______,Teachers Count ___ ________
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,____,Female,_______,Emirati,120,66
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,____,Female,____,Resident,298,272
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,___,Male,_______,Emirati,10,6
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,___,Male,____,Resident,304,277
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,____,Female,_______,Emirati,8,2
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,____,Female,____,Resident,12,12
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,___,Male,_______,Emirati,3,1
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,___,Male,____,Resident,39,32
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,____,Female,_______,Emirati,14,4
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,____,Female,____,Resident,11,10
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,___,Male,_______,Emirati,6,3
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,___,Male,____,Resident,40,37
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,____,Female,_______,Emirati,14,9
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,____,Female,____,Resident,35,34
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,___,Male,_______,Emirati,2,0
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,___,Male,____,Resident,27,22
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,____,Female,_______,Emirati,9,3
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,____,Female,____,Resident,15,8
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,___,Male,_______,Emirati,3,0
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,___,Male,____,Resident,55,46
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___ ______,Ras Al Khaimah,____,Female,_______,Emirati,13,5
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___ ______,Ras Al Khaimah,____,Female,____,Resident,10,10
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___ ______,Ras Al Khaimah,___,Male,_______,Emirati,5,2
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___ ______,Ras Al Khaimah,___,Male,____,Resident,46,41
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,____,Female,_______,Emirati,31,15
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,____,Female,____,Resident,62,61
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,___,Male,_______,Emirati,2,0
2022-2023,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,___,Male,____,Resident,43,35
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____,Female,_______,Emirati,26,13
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____,Female,____,Resident,2085,1657
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,___,Male,_______,Emirati,2,0
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,___,Male,____,Resident,831,646
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____,Female,_______,Emirati,61,34
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____,Female,____,Resident,2128,1802
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,___,Male,_______,Emirati,4,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,___,Male,____,Resident,897,738
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____,Female,____,Resident,87,73
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,___,Male,____,Resident,44,36
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____,Female,_______,Emirati,13,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____,Female,____,Resident,1245,922
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,___,Male,_______,Emirati,1,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,___,Male,____,Resident,733,549
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____,Female,_______,Emirati,17,9
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____,Female,____,Resident,178,147
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,___,Male,____,Resident,119,101
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,____,Female,_______,Emirati,1,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,____,Female,____,Resident,118,94
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,___,Male,____,Resident,39,35
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,____,Female,_______,Emirati,38,14
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,____,Female,____,Resident,818,730
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,___,Male,_______,Emirati,3,1
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,___,Male,____,Resident,484,433
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____,Female,_______,Emirati,21,9
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____,Female,____,Resident,688,556
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,___,Male,_______,Emirati,4,0
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,___,Male,____,Resident,339,234
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____,Female,_______,Emirati,42,19
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____,Female,____,Resident,1323,1051
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,___,Male,_______,Emirati,3,0
2022-2023,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,___,Male,____,Resident,557,395
2022-2023,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,____,Female,_______,Emirati,59,27
2022-2023,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,____,Female,____,Resident,571,497
2022-2023,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,___,Male,_______,Emirati,1,0
2022-2023,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,___,Male,____,Resident,139,88
2022-2023,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,__ _______,Umm Al Quwain,____,Female,_______,Emirati,9,2
2022-2023,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,__ _______,Umm Al Quwain,____,Female,____,Resident,361,274
2022-2023,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,__ _______,Umm Al Quwain,___,Male,____,Resident,107,65
2022-2023,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,____,Female,_______,Emirati,32,10
2022-2023,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,____,Female,____,Resident,1292,1045
2022-2023,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,___,Male,_______,Emirati,2,0
2022-2023,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,___,Male,____,Resident,390,191
2022-2023,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,____,Female,_______,Emirati,38,19
2022-2023,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,____,Female,____,Resident,2612,2235
2022-2023,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,___,Male,_______,Emirati,5,0
2022-2023,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,___,Male,____,Resident,546,333
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,____,Female,_______,Emirati,107,64
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,____,Female,____,Resident,298,281
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,___,Male,_______,Emirati,9,5
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,___,Male,____,Resident,315,297
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,____,Female,_______,Emirati,3,1
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,____,Female,____,Resident,13,13
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,___,Male,_______,Emirati,3,1
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,___,Male,____,Resident,36,33
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,____,Female,_______,Emirati,10,6
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,____,Female,____,Resident,8,8
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,___,Male,_______,Emirati,3,3
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,___,Male,____,Resident,35,35
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,____,Female,_______,Emirati,11,10
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,____,Female,____,Resident,36,36
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,___,Male,____,Resident,26,26
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,____,Female,_______,Emirati,5,2
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,____,Female,____,Resident,17,12
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,___,Male,_______,Emirati,2,0
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,___,Male,____,Resident,55,48
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___ ______,Ras Al Khaimah,____,Female,_______,Emirati,6,4
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___ ______,Ras Al Khaimah,____,Female,____,Resident,13,13
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___ ______,Ras Al Khaimah,___,Male,_______,Emirati,2,2
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___ ______,Ras Al Khaimah,___,Male,____,Resident,46,43
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,____,Female,_______,Emirati,22,14
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,____,Female,____,Resident,64,63
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,___,Male,_______,Emirati,1,1
2023-2024,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,___,Male,____,Resident,38,38
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____,Female,_______,Emirati,62,42
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____,Female,____,Resident,1989,1587
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,___,Male,_______,Emirati,2,0
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,___,Male,____,Resident,814,636
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____,Female,_______,Emirati,105,47
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____,Female,____,Resident,2316,1980
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,___,Male,_______,Emirati,2,1
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,___,Male,____,Resident,1011,850
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____,Female,_______,Emirati,2,0
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____,Female,____,Resident,100,82
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,___,Male,____,Resident,54,42
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____,Female,_______,Emirati,31,12
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____,Female,____,Resident,1304,984
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,___,Male,_______,Emirati,2,1
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,___,Male,____,Resident,796,607
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____,Female,_______,Emirati,27,18
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____,Female,____,Resident,193,154
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,___,Male,____,Resident,119,99
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,____,Female,_______,Emirati,1,1
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,____,Female,____,Resident,122,97
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,___,Male,____,Resident,53,44
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,____,Female,_______,Emirati,46,17
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,____,Female,____,Resident,875,761
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,___,Male,_______,Emirati,6,1
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,___,Male,____,Resident,508,449
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____,Female,_______,Emirati,29,12
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____,Female,____,Resident,712,563
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,___,Male,_______,Emirati,2,0
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,___,Male,____,Resident,316,194
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____,Female,_______,Emirati,78,29
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____,Female,____,Resident,1380,1103
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,___,Male,_______,Emirati,5,1
2023-2024,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,___,Male,____,Resident,580,405
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,____,Female,_______,Emirati,74,39
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,____,Female,____,Resident,699,639
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,___,Male,____,Resident,164,119
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,__ _______,Umm Al Quwain,____,Female,_______,Emirati,15,4
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,__ _______,Umm Al Quwain,____,Female,____,Resident,366,263
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,__ _______,Umm Al Quwain,___,Male,_______,Emirati,1,0
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,__ _______,Umm Al Quwain,___,Male,____,Resident,109,62
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,____,Female,_______,Emirati,61,22
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,____,Female,____,Resident,1491,1205
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,___,Male,_______,Emirati,6,0
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,___ ______,Ras Al Khaimah,___,Male,____,Resident,433,230
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,____,Female,_______,Emirati,87,37
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,____,Female,____,Resident,3502,3039
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,___,Male,_______,Emirati,5,0
2023-2024,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_____,AJMAN,___,Male,____,Resident,622,366
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,____,Female,_______,Emirati,121,66
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,____,Female,____,Resident,343,325
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,___,Male,_______,Emirati,9,4
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,___,Male,____,Resident,357,338
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,____,Female,_______,Emirati,7,1
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,____,Female,____,Resident,14,14
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,___,Male,_______,Emirati,3,1
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,SHARJAH,___,Male,____,Resident,42,37
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,____,Female,_______,Emirati,12,5
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,____,Female,____,Resident,7,7
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,___,Male,_______,Emirati,3,3
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_______,AL FUJAIRAH,___,Male,____,Resident,36,36
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,____,Female,_______,Emirati,12,10
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,____,Female,____,Resident,37,37
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,___,Male,_______,Emirati,1,0
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),__ _______,Umm Al Quwain,___,Male,____,Resident,26,26
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,____,Female,_______,Emirati,9,3
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,____,Female,____,Resident,18,13
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,___,Male,_______,Emirati,2,0
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___,DUBAI,___,Male,____,Resident,49,40
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___ ______,Ras Al Khaimah,____,Female,_______,Emirati,7,5
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___ ______,Ras Al Khaimah,____,Female,____,Resident,13,13
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___ ______,Ras Al Khaimah,___,Male,_______,Emirati,3,2
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),___ ______,Ras Al Khaimah,___,Male,____,Resident,50,47
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,____,Female,_______,Emirati,21,12
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,____,Female,____,Resident,60,59
2024-2025,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),_____,AJMAN,___,Male,____,Resident,45,44
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____,Female,_______,Emirati,75,52
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,____,Female,____,Resident,1999,1623
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,___,Male,_______,Emirati,2,0
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,______,ABU DHABI,___,Male,____,Resident,924,750
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____,Female,_______,Emirati,120,43
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,____,Female,____,Resident,2161,1845
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,___,Male,_______,Emirati,3,2
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,SHARJAH,___,Male,____,Resident,988,838
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____,Female,_______,Emirati,2,0
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,____,Female,____,Resident,103,92
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,______,AL DHAFRA,___,Male,____,Resident,52,45
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____,Female,_______,Emirati,51,19
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,____,Female,____,Resident,1157,858
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,___,Male,_______,Emirati,2,1
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AL AIN,___,Male,____,Resident,736,566
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____,Female,_______,Emirati,26,17
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,____,Female,____,Resident,160,132
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,_______,AL FUJAIRAH,___,Male,____,Resident,101,88
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,____,Female,_______,Emirati,1,1
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,____,Female,____,Resident,125,100
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,__ _______,Umm Al Quwain,___,Male,____,Resident,64,54
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,____,Female,_______,Emirati,47,17
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,____,Female,____,Resident,796,694
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,___,Male,_______,Emirati,7,2
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,___,DUBAI,___,Male,____,Resident,489,439
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____,Female,_______,Emirati,27,12
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,____,Female,____,Resident,742,581
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,___,Male,_______,Emirati,2,0
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,___ ______,Ras Al Khaimah,___,Male,____,Resident,362,230
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____,Female,_______,Emirati,111,51
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,____,Female,____,Resident,1320,1082
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,___,Male,_______,Emirati,6,2
2024-2025,_____ ______ _____ _____,Private Schools MOE Curriculum,_____,AJMAN,___,Male,____,Resident,550,398
2024-2025,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,____,Female,_______,Emirati,68,34
2024-2025,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,____,Female,____,Resident,716,634
2024-2025,_____ ____ _____ ___ _____ __ ________ _______ ________,Private Schools Non MOE Curriculum in the four northern emirates,_______,AL FUJAIRAH,___,Male,_______,Emirati,1,0
