Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN), Region _______ _________ (AR), Region _______ _________ (EN),Gender _____ (AR),Gender _____ (EN),Emirati\Resident _______/____ (AR),Emirati\Resident _______/____ (EN),Staff Count ___ ______ _______,Teachers Count ___ ________
2022-2023,_______ ________,Public,_____,AL AIN,___,Male,____,Resident,1130,1059
2022-2023,_______ ________,Public,_______,AL FUJAIRAH,____,Female,_______,Emirati,1320,1013
2022-2023,_______ ________,Public,_______,AL FUJAIRAH,____,Female,____,Resident,238,235
2022-2023,_______ ________,Public,_______,AL FUJAIRAH,___,Male,_______,Emirati,61,22
2022-2023,_______ ________,Public,_______,AL FUJAIRAH,___,Male,____,Resident,343,334
2022-2023,_______ ________ - _____,Public Ajyal,_______,AL FUJAIRAH,____,Female,_______,Emirati,13,11
2022-2023,_______ ________ - _____,Public Ajyal,_______,AL FUJAIRAH,____,Female,____,Resident,22,19
2022-2023,_______ ________ - _____,Public Ajyal,_______,AL FUJAIRAH,___,Male,____,Resident,11,7
2022-2023,_______ ________,Public,___,DUBAI,____,Female,_______,Emirati,1032,732
2022-2023,_______ ________,Public,___,DUBAI,____,Female,____,Resident,642,624
2022-2023,_______ ________,Public,___,DUBAI,___,Male,_______,Emirati,58,25
2022-2023,_______ ________,Public,___,DUBAI,___,Male,____,Resident,504,486
2022-2023,_______ ________ - _____,Public Ajyal,___,DUBAI,____,Female,_______,Emirati,15,13
2022-2023,_______ ________ - _____,Public Ajyal,___,DUBAI,____,Female,____,Resident,58,51
2022-2023,_______ ________ - _____,Public Ajyal,___,DUBAI,___,Male,_______,Emirati,1,1
2022-2023,_______ ________ - _____,Public Ajyal,___,DUBAI,___,Male,____,Resident,10,7
2022-2023,_______ ________,Public,___ ______,Ras Al Khaimah,____,Female,_______,Emirati,1753,1262
2022-2023,_______ ________,Public,___ ______,Ras Al Khaimah,____,Female,____,Resident,392,386
2022-2023,_______ ________,Public,___ ______,Ras Al Khaimah,___,Male,_______,Emirati,117,40
2022-2023,_______ ________,Public,___ ______,Ras Al Khaimah,___,Male,____,Resident,575,566
2022-2023,_______ ________ - _____,Public Ajyal,___ ______,Ras Al Khaimah,____,Female,_______,Emirati,30,25
2022-2023,_______ ________ - _____,Public Ajyal,___ ______,Ras Al Khaimah,____,Female,____,Resident,78,62
2022-2023,_______ ________ - _____,Public Ajyal,___ ______,Ras Al Khaimah,___,Male,____,Resident,29,16
2022-2023,_______ ________,Public,_____,AJMAN,____,Female,_______,Emirati,623,447
2022-2023,_______ ________,Public,_____,AJMAN,____,Female,____,Resident,309,293
2022-2023,_______ ________,Public,_____,AJMAN,___,Male,_______,Emirati,25,6
2022-2023,_______ ________,Public,_____,AJMAN,___,Male,____,Resident,291,272
2022-2023,_______ ________ - _____,Public Ajyal,_____,AJMAN,____,Female,_______,Emirati,11,10
2022-2023,_______ ________ - _____,Public Ajyal,_____,AJMAN,____,Female,____,Resident,31,26
2022-2023,_______ ________ - _____,Public Ajyal,_____,AJMAN,___,Male,____,Resident,3,2
2021-2022,_______ ________,Public,______,ABU DHABI,___ ____,Undefined,_______,Emirati,57,39
2021-2022,_______ ________,Public,______,ABU DHABI,___ ____,Undefined,____,Resident,22,21
2021-2022,_______ ________,Public,______,ABU DHABI,____,Female,_______,Emirati,3059,2257
2021-2022,_______ ________,Public,______,ABU DHABI,____,Female,____,Resident,1819,1756
2021-2022,_______ ________,Public,______,ABU DHABI,___,Male,_______,Emirati,457,234
2021-2022,_______ ________,Public,______,ABU DHABI,___,Male,____,Resident,1368,1236
2021-2022,_______ ________,Public,__ _______,Umm Al Quwain,___ ____,Undefined,_______,Emirati,1,0
2021-2022,_______ ________,Public,__ _______,Umm Al Quwain,____,Female,_______,Emirati,360,235
2021-2022,_______ ________,Public,__ _______,Umm Al Quwain,____,Female,____,Resident,119,115
2021-2022,_______ ________,Public,__ _______,Umm Al Quwain,___,Male,_______,Emirati,11,3
2021-2022,_______ ________,Public,__ _______,Umm Al Quwain,___,Male,____,Resident,125,117
2021-2022,_______ ________,Public,_______,SHARJAH,____,Female,_______,Emirati,1187,759
2021-2022,_______ ________,Public,_______,SHARJAH,____,Female,____,Resident,547,528
2021-2022,_______ ________,Public,_______,SHARJAH,___,Male,_______,Emirati,74,13
2021-2022,_______ ________,Public,_______,SHARJAH,___,Male,____,Resident,530,500
2021-2022,_______ ________,Public,_______ / _______,Sharjah / Eastern,____,Female,_______,Emirati,966,696
2021-2022,_______ ________,Public,_______ / _______,Sharjah / Eastern,____,Female,____,Resident,156,153
2021-2022,_______ ________,Public,_______ / _______,Sharjah / Eastern,___,Male,_______,Emirati,108,42
2021-2022,_______ ________,Public,_______ / _______,Sharjah / Eastern,___,Male,____,Resident,263,260
2021-2022,_______ ________,Public,______,AL DHAFRA,___ ____,Undefined,____,Resident,1,0
2021-2022,_______ ________,Public,______,AL DHAFRA,____,Female,_______,Emirati,259,140
2021-2022,_______ ________,Public,______,AL DHAFRA,____,Female,____,Resident,557,508
2021-2022,_______ ________,Public,______,AL DHAFRA,___,Male,_______,Emirati,16,4
2021-2022,_______ ________,Public,______,AL DHAFRA,___,Male,____,Resident,449,385
2021-2022,_______ ________,Public,_____,AL AIN,___ ____,Undefined,_______,Emirati,5,2
2021-2022,_______ ________,Public,_____,AL AIN,___ ____,Undefined,____,Resident,12,11
2021-2022,_______ ________,Public,_____,AL AIN,____,Female,_______,Emirati,3423,2471
2021-2022,_______ ________,Public,_____,AL AIN,____,Female,____,Resident,1484,1441
2021-2022,_______ ________,Public,_____,AL AIN,___,Male,_______,Emirati,401,195
2021-2022,_______ ________,Public,_____,AL AIN,___,Male,____,Resident,1310,1207
2021-2022,_______ ________,Public,_______,AL FUJAIRAH,____,Female,_______,Emirati,1390,1029
2021-2022,_______ ________,Public,_______,AL FUJAIRAH,____,Female,____,Resident,262,258
2021-2022,_______ ________,Public,_______,AL FUJAIRAH,___,Male,_______,Emirati,80,25
2021-2022,_______ ________,Public,_______,AL FUJAIRAH,___,Male,____,Resident,359,346
