Enroll_Academic_Period,Institution_Name,Gender,Nationality,Total Students
2017-2018 : Spring,Al Ain University of Science and Technology,Female,National,210
2017-2018 : Summer 1,Al Ain University of Science and Technology,Female,Non-National,31
2018-2019 : Spring,Al Ain University of Science and Technology,Female,National,128
2018-2019 : Summer 1,Al Ain University of Science and Technology,Female,National,19
2018-2019 : Summer 1,Al Ain University of Science and Technology,Female,Non-National,28
2019-2020 : Fall,Al Ain University of Science and Technology,Female,Non-National,415
2019-2020 : Spring,Al Ain University of Science and Technology,Female,National,139
2019-2020 : Spring,Al Ain University of Science and Technology,Female,Non-National,138
2019-2020 : Summer 1,Al Ain University of Science and Technology,Female,National,32
2013-2014 : Fall,Al Ain University of Science and Technology,Female,National,221
2013-2014 : Fall,Al Ain University of Science and Technology,Female,Non-National,475
2013-2014 : Spring,Al Ain University of Science and Technology,Female,National,149
2013-2014 : Spring,Al Ain University of Science and Technology,Female,Non-National,113
2014-2015 : Fall,Al Ain University of Science and Technology,Female,Non-National,264
2015-2016 : Fall,Al Ain University of Science and Technology,Female,National,251
2016-2017 : Fall,Al Ain University of Science and Technology,Female,National,302
2016-2017 : Fall,Al Ain University of Science and Technology,Female,Non-National,322
2016-2017 : Spring,Al Ain University of Science and Technology,Female,National,191
2016-2017 : Spring,Al Ain University of Science and Technology,Female,Non-National,85
2017-2018 : Fall,Al Ain University of Science and Technology,Female,National,164
2017-2018 : Fall,Al Ain University of Science and Technology,Female,Non-National,559
2017-2018 : Spring,Al Ain University of Science and Technology,Female,Non-National,490
2017-2018 : Summer 1,Al Ain University of Science and Technology,Female,National,33
2018-2019 : Fall,Al Ain University of Science and Technology,Female,National,260
2018-2019 : Fall,Al Ain University of Science and Technology,Female,Non-National,326
2018-2019 : Spring,Al Ain University of Science and Technology,Female,Non-National,121
2019-2020 : Fall,Al Ain University of Science and Technology,Female,National,206
2020-2021 : Fall,Al Ain University of Science and Technology,Female,National,145
2020-2021 : Fall,Al Ain University of Science and Technology,Female,Non-National,263
2020-2021 : Summer 1,Al Ain University of Science and Technology,Female,National,27
2020-2021 : Summer 1,Al Ain University of Science and Technology,Female,Non-National,383
2021-2022 : Fall,Al Ain University of Science and Technology,Female,National,123
2021-2022 : Fall,Al Ain University of Science and Technology,Female,Non-National,1484
2021-2022 : Spring,Al Ain University of Science and Technology,Female,National,74
2021-2022 : Summer 2,Al Ain University of Science and Technology,Female,National,5
2021-2022 : Summer 2,Al Ain University of Science and Technology,Female,Non-National,424
2022-2023 : Fall,Al Ain University of Science and Technology,Female,National,100
2022-2023 : Spring,Al Ain University of Science and Technology,Female,National,104
2022-2023 : Spring,Al Ain University of Science and Technology,Female,Non-National,920
2012-2013 : Fall,Al Dar University College,Female,Non-National,68
2013-2014 : Fall,Al Dar University College,Female,National,76
2013-2014 : Spring,Al Dar University College,Female,National,38
2013-2014 : Spring,Al Dar University College,Female,Non-National,26
2014-2015 : Fall,Al Dar University College,Female,National,22
2014-2015 : Fall,Al Dar University College,Female,Non-National,32
2016-2017 : Fall,Al Dar University College,Female,National,27
2016-2017 : Spring,Al Dar University College,Female,National,19
2017-2018 : Fall,Al Dar University College,Female,National,15
2017-2018 : Spring,Al Dar University College,Female,National,12
2017-2018 : Spring,Al Dar University College,Female,Non-National,11
2018-2019 : Spring,Al Dar University College,Female,National,25
2018-2019 : Spring,Al Dar University College,Female,Non-National,12
2018-2019 : Summer 1,Al Dar University College,Female,National,3
2018-2019 : Summer 1,Al Dar University College,Female,Non-National,5
2019-2020 : Fall,Al Dar University College,Female,Non-National,75
2019-2020 : Spring,Al Dar University College,Female,Non-National,11
2019-2020 : Summer 1,Al Dar University College,Female,National,4
2019-2020 : Summer 1,Al Dar University College,Female,Non-National,2
2019-2020 : Summer 2,Al Dar University College,Female,Non-National,1
2015-2016 : Fall,Al Falah University,Female,National,74
2015-2016 : Fall,Al Falah University,Female,Non-National,15
2015-2016 : Spring,Al Falah University,Female,Non-National,12
2017-2018 : Summer 1,Al Falah University,Female,Non-National,1
2017-2018 : Winter,Al Falah University,Female,National,18
2018-2019 : Spring,Al Falah University,Female,National,25
2019-2020 : Fall,Al Falah University,Female,National,28
2019-2020 : Fall,Al Falah University,Female,Non-National,11
2019-2020 : Spring,Al Falah University,Female,National,26
2019-2020 : Spring,Al Falah University,Female,Non-National,8
2019-2020 : Summer 1,Al Falah University,Female,National,3
2019-2020 : Summer 2,Al Falah University,Female,National,4
2019-2020 : Summer 2,Al Falah University,Female,Non-National,1
2020-2021 : Fall,Al Falah University,Female,National,19
2020-2021 : Fall,Al Falah University,Female,Non-National,8
2020-2021 : Spring,Al Falah University,Female,National,15
2020-2021 : Summer 2,Al Falah University,Female,National,1
2021-2022 : Spring,Al Falah University,Female,National,11
2021-2022 : Spring,Al Falah University,Female,Non-National,9
2013-2014 : Fall,Al Ghurair University,Female,National,29
2013-2014 : Spring,Al Ghurair University,Female,Non-National,17
2014-2015 : Fall,Al Ghurair University,Female,National,25
2014-2015 : Fall,Al Ghurair University,Female,Non-National,82
2014-2015 : Spring,Al Ghurair University,Female,Non-National,25
2015-2016 : Fall,Al Ghurair University,Female,Non-National,103
2016-2017 : Fall,Al Ghurair University,Female,National,31
2016-2017 : Spring,Al Ghurair University,Female,National,11
2017-2018 : Fall,Al Ghurair University,Female,Non-National,68
2017-2018 : Spring,Al Ghurair University,Female,National,13
2017-2018 : Spring,Al Ghurair University,Female,Non-National,47
2018-2019 : Fall,Al Ghurair University,Female,National,20
2019-2020 : Summer 1,Al Ghurair University,Female,National,1
2020-2021 : Fall,Al Ghurair University,Female,Non-National,19
2020-2021 : Spring,Al Ghurair University,Female,National,5
2020-2021 : Spring,Al Ghurair University,Female,Non-National,6
2021-2022 : Fall,Al Ghurair University,Female,National,12
2021-2022 : Fall,Al Ghurair University,Female,Non-National,32
2012-2013 : Fall,Al Hosn University,Female,National,100
2012-2013 : Spring,Al Hosn University,Female,National,33
2012-2013 : Spring,Al Hosn University,Female,Non-National,48
2013-2014 : Fall,Al Hosn University,Female,Non-National,73
2013-2014 : Spring,Al Hosn University,Female,Non-National,43
2012-2013 : Fall,Al Khawarizmi International College,Female,Non-National,125
2013-2014 : Fall,Al Khawarizmi International College,Female,National,36
2014-2015 : Fall,Al Khawarizmi International College,Female,National,46
2014-2015 : Spring,Al Khawarizmi International College,Female,Non-National,88
