Enroll_Academic_Period,Institution_Name,Gender,Nationality,Total Students
2020-2021 : Spring,University of Dubai,Female,National,6
2020-2021 : Summer 2,University of Dubai,Female,Non-National,1
2021-2022 : Spring,University of Dubai,Female,National,8
2021-2022 : Spring,University of Dubai,Female,Non-National,5
2021-2022 : Summer 1,University of Dubai,Female,National,5
2021-2022 : Summer 1,University of Dubai,Female,Non-National,1
2021-2022 : Winter,University of Dubai,Female,National,11
2022-2023 : Fall,University of Dubai,Female,National,29
2022-2023 : Fall,University of Dubai,Female,Non-National,29
2012-2013 : Fall,University of Fujairah,Female,National,7
2015-2016 : Spring,University of Fujairah,Female,National,4
2016-2017 : Spring,University of Fujairah,Female,National,44
2017-2018 : Summer 1,University of Fujairah,Female,National,3
2017-2018 : Winter,University of Fujairah,Female,National,35
2017-2018 : Winter,University of Fujairah,Female,Non-National,7
2018-2019 : Fall,University of Fujairah,Female,National,57
2018-2019 : Fall,University of Fujairah,Female,Non-National,10
2018-2019 : Summer 1,University of Fujairah,Female,National,1
2020-2021 : Spring,University of Fujairah,Female,National,12
2021-2022 : Fall,University of Fujairah,Female,National,19
2022-2023 : Fall,University of Fujairah,Female,Non-National,57
2022-2023 : Winter,University of Fujairah,Female,Non-National,14
2012-2013 : Fall,University of Jazeera,Female,National,460
2012-2013 : Spring,University of Jazeera,Female,National,75
2012-2013 : Spring,University of Jazeera,Female,Non-National,21
2013-2014 : Fall,University of Jazeera,Female,Non-National,84
2017-2018 : Spring,The College of Fashion and Design,Female,National,1
2017-2018 : Spring,The College of Fashion and Design,Female,Non-National,4
2018-2019 : Fall,The College of Fashion and Design,Female,Non-National,10
2018-2019 : Spring,The College of Fashion and Design,Female,National,3
2018-2019 : Spring,The College of Fashion and Design,Female,Non-National,10
2019-2020 : Fall,The College of Fashion and Design,Female,National,11
2019-2020 : Fall,The College of Fashion and Design,Female,Non-National,8
2012-2013 : Fall,THE PETROLEUM INSTITUTE ,Female,National,106
2012-2013 : Spring,THE PETROLEUM INSTITUTE ,Female,National,6
2012-2013 : Spring,THE PETROLEUM INSTITUTE ,Female,Non-National,8
2013-2014 : Fall,THE PETROLEUM INSTITUTE ,Female,Non-National,38
2013-2014 : Spring,THE PETROLEUM INSTITUTE ,Female,National,10
2013-2014 : Spring,THE PETROLEUM INSTITUTE ,Female,Non-National,6
2014-2015 : Fall,THE PETROLEUM INSTITUTE ,Female,Non-National,52
2014-2015 : Spring,THE PETROLEUM INSTITUTE ,Female,National,22
2014-2015 : Spring,THE PETROLEUM INSTITUTE ,Female,Non-National,7
2015-2016 : Fall,THE PETROLEUM INSTITUTE ,Female,National,273
2015-2016 : Fall,THE PETROLEUM INSTITUTE ,Female,Non-National,37
2016-2017 : Fall,THE PETROLEUM INSTITUTE ,Female,National,161
2016-2017 : Fall,THE PETROLEUM INSTITUTE ,Female,Non-National,15
2016-2017 : Spring,THE PETROLEUM INSTITUTE ,Female,National,1
2012-2013 : Spring,United Arab Emirates University,Female,National,92
2013-2014 : Fall,United Arab Emirates University,Female,National,2230
2014-2015 : Fall,United Arab Emirates University,Female,National,2180
2014-2015 : Fall,United Arab Emirates University,Female,Non-National,232
2016-2017 : Fall,United Arab Emirates University,Female,National,2131
2016-2017 : Fall,United Arab Emirates University,Female,Non-National,245
2016-2017 : Spring,United Arab Emirates University,Female,National,221
2017-2018 : Fall,United Arab Emirates University,Female,National,2561
2017-2018 : Spring,United Arab Emirates University,Female,National,250
2017-2018 : Spring,United Arab Emirates University,Female,Non-National,140
2018-2019 : Fall,United Arab Emirates University,Female,National,2451
2018-2019 : Summer 1,United Arab Emirates University,Female,National,3
2020-2021 : Spring,United Arab Emirates University,Female,National,342
2020-2021 : Spring,United Arab Emirates University,Female,Non-National,98
2020-2021 Full year courses,United Arab Emirates University,Female,National,131
2021-2022 : Fall,United Arab Emirates University,Female,National,1623
2021-2022 : Fall,United Arab Emirates University,Female,Non-National,259
2021-2022 : Spring,United Arab Emirates University,Female,Non-National,112
2022-2023 : Full year courses,United Arab Emirates University,Female,Non-National,4
2022-2023 : Spring,United Arab Emirates University,Female,Non-National,97
2018-2019 : Fall,University of Balamand Dubai,Female,Non-National,13
2018-2019 : Spring,University of Balamand Dubai,Female,Non-National,2
2020-2021 : Fall,University of Balamand Dubai,Female,Non-National,16
2020-2021 : Summer 1,University of Balamand Dubai,Female,Non-National,3
2021-2022 : Fall,University of Balamand Dubai,Female,Non-National,2
2012-2013 : Spring,University of Dubai,Female,National,2
2012-2013 : Spring,University of Dubai,Female,Non-National,6
2013-2014 : Fall,University of Dubai,Female,National,8
2013-2014 : Fall,University of Dubai,Female,Non-National,16
2012-2013 : Fall,University of Modern Sciences,Female,National,23
2013-2014 : Spring,University of Modern Sciences,Female,National,36
2014-2015 : Fall,University of Modern Sciences,Female,National,38
2014-2015 : Fall,University of Modern Sciences,Female,Non-National,18
2014-2015 : Spring,University of Modern Sciences,Female,National,38
2015-2016 : Fall,University of Modern Sciences,Female,National,34
2015-2016 : Spring,University of Modern Sciences,Female,National,26
2015-2016 : Spring,University of Modern Sciences,Female,Non-National,4
2016-2017 : Fall,University of Modern Sciences,Female,National,10
2016-2017 : Spring,University of Modern Sciences,Female,National,10
2016-2017 : Spring,University of Modern Sciences,Female,Non-National,6
2017-2018 : Fall,University of Modern Sciences,Female,National,9
2020-2021 : Fall,University Of Science And Technology of Fujairah,Female,Non-National,20
2021-2022 : Fall,University Of Science And Technology of Fujairah,Female,National,42
2021-2022 : Spring,University Of Science And Technology of Fujairah,Female,National,8
2021-2022 : Spring,University Of Science And Technology of Fujairah,Female,Non-National,4
2022-2023 : Fall,University Of Science And Technology of Fujairah,Female,Non-National,7
2022-2023 : Spring,University Of Science And Technology of Fujairah,Female,National,13
2022-2023 : Spring,University Of Science And Technology of Fujairah,Female,Non-National,2
2012-2013 : Spring,University of Sharjah,Female,National,133
2013-2014 : Fall,University of Sharjah,Female,National,866
2013-2014 : Fall,University of Sharjah,Female,Non-National,1110
2014-2015 : Fall,University of Sharjah,Female,Non-National,1126
2016-2017 : Fall,University of Sharjah,Female,National,1134
2016-2017 : Fall,University of Sharjah,Female,Non-National,1174
2016-2017 : Spring,University of Sharjah,Female,National,130
2016-2017 : Spring,University of Sharjah,Female,Non-National,158
2017-2018 : Fall,University of Sharjah,Female,National,1058
2017-2018 : Fall,University of Sharjah,Female,Non-National,1200
2017-2018 : Spring,University of Sharjah,Female,Non-National,159
2018-2019 : Fall,University of Sharjah,Female,National,1215
2018-2019 : Fall,University of Sharjah,Female,Non-National,808
2018-2019 : Spring,University of Sharjah,Female,Non-National,153
2018-2019 Full year courses,University of Sharjah,Female,National,90
2018-2019 Full year courses,University of Sharjah,Female,Non-National,317
2020-2021 : Spring,University of Sharjah,Female,Non-National,237
2021-2022 : Fall,University of Sharjah,Female,National,1370
2021-2022 : Fall,University of Sharjah,Female,Non-National,1153
2022-2023 : Spring,University of Sharjah,Female,National,158
2022-2023 : Spring,University of Sharjah,Female,Non-National,171
2013-2014 : Fall,University of Strathclyde Business School- UAE,Female,National,2
2013-2014 : Fall,University of Strathclyde Business School- UAE,Female,Non-National,10
2013-2014 : Spring,University of Strathclyde Business School- UAE,Female,Non-National,4
2014-2015 : Fall,University of Strathclyde Business School- UAE,Female,National,1
2014-2015 : Fall,University of Strathclyde Business School- UAE,Female,Non-National,12
2014-2015 : Spring,University of Strathclyde Business School- UAE,Female,Non-National,5
2015-2016 : Fall,University of Strathclyde Business School- UAE,Female,Non-National,6
2016-2017 : Spring,University of Strathclyde Business School- UAE,Female,National,1
2021-2022 : Fall,University of Strathclyde Business School- UAE,Female,Non-National,2
2012-2013 : Fall,University of Wollongong in Dubai,Female,National,45
2012-2013 : Spring,University of Wollongong in Dubai,Female,National,36
2012-2013 : Spring,University of Wollongong in Dubai,Female,Non-National,174
2013-2014 : Fall,University of Wollongong in Dubai,Female,Non-National,296
2013-2014 : Spring,University of Wollongong in Dubai,Female,Non-National,170
2015-2016 : Fall,University of Wollongong in Dubai,Female,National,23
2016-2017 : Fall,University of Wollongong in Dubai,Female,National,20
2016-2017 : Fall,University of Wollongong in Dubai,Female,Non-National,195
2016-2017 : Spring,University of Wollongong in Dubai,Female,National,29
2016-2017 : Spring,University of Wollongong in Dubai,Female,Non-National,129
2017-2018 : Fall,University of Wollongong in Dubai,Female,Non-National,63
2017-2018 : Summer 1,University of Wollongong in Dubai,Female,National,7
2017-2018 : Summer 1,University of Wollongong in Dubai,Female,Non-National,29
2018-2019 : Fall,University of Wollongong in Dubai,Female,National,15
2018-2019 : Fall,University of Wollongong in Dubai,Female,Non-National,187
2019-2020 : Fall,University of Wollongong in Dubai,Female,National,36
2019-2020 : Spring,University of Wollongong in Dubai,Female,National,12
2020-2021 : Fall,University of Wollongong in Dubai,Female,Non-National,235
2020-2021 : Summer 1,University of Wollongong in Dubai,Female,Non-National,40
2020-2021 : Winter,University of Wollongong in Dubai,Female,National,20
2021-2022 : Fall,University of Wollongong in Dubai,Female,Non-National,292
2021-2022 : Spring,University of Wollongong in Dubai,Female,National,6
2022-2023 : Fall,University of Wollongong in Dubai,Female,National,13
2022-2023 : Winter,University of Wollongong in Dubai,Female,National,13
2022-2023 : Winter,University of Wollongong in Dubai,Female,Non-National,99
2012-2013 : Fall,University Saint-Joseph,Female,National,25
2013-2014 : Fall,University Saint-Joseph,Female,National,30
2015-2016 : Fall,University Saint-Joseph,Female,National,4
2017-2018 : Fall,University Saint-Joseph,Female,National,14
2018-2019 : Fall,University Saint-Joseph,Female,Non-National,8
2018-2019 : Spring,University Saint-Joseph,Female,Non-National,6
2019-2020 : Fall,University Saint-Joseph,Female,National,8
2019-2020 : Fall,University Saint-Joseph,Female,Non-National,9
2019-2020 : Spring,University Saint-Joseph,Female,National,7
2020-2021 : Fall,University Saint-Joseph,Female,National,6
2021-2022 : Fall,University Saint-Joseph,Female,Non-National,8
2022-2023 : Fall,University Saint-Joseph,Female,National,8
2022-2023 : Fall,University Saint-Joseph,Female,Non-National,15
2012-2013 : Fall,Zayed University,Female,National,2235
2012-2013 : Fall,Zayed University,Female,Non-National,78
2012-2013 : Spring,Zayed University,Female,National,555
2012-2013 : Spring,Zayed University,Female,Non-National,72
2013-2014 : Spring,Zayed University,Female,National,379
2014-2015 : Spring,Zayed University,Female,National,327
2014-2015 : Spring,Zayed University,Female,Non-National,35
2015-2016 : Fall,Zayed University,Female,National,1500
2015-2016 : Spring,Zayed University,Female,National,201
2015-2016 : Spring,Zayed University,Female,Non-National,14
2016-2017 : Fall,Zayed University,Female,Non-National,53
2016-2017 : Spring,Zayed University,Female,Non-National,21
2018-2019 : Fall,Zayed University,Female,Non-National,10
2018-2019 : Spring,Zayed University,Female,Non-National,14
2013-2014 : Spring,University of Dubai,Female,National,1
2013-2014 : Spring,University of Dubai,Female,Non-National,4
2014-2015 : Fall,University of Dubai,Female,Non-National,23
2015-2016 : Fall,University of Dubai,Female,National,14
2015-2016 : Spring,University of Dubai,Female,Non-National,13
2016-2017 : Fall,University of Dubai,Female,National,29
2016-2017 : Fall,University of Dubai,Female,Non-National,27
2016-2017 : Spring,University of Dubai,Female,National,17
2016-2017 : Spring,University of Dubai,Female,Non-National,8
2017-2018 : Fall,University of Dubai,Female,National,34
2017-2018 : Fall,University of Dubai,Female,Non-National,37
2017-2018 : Spring,University of Dubai,Female,Non-National,19
2017-2018 : Winter,University of Dubai,Female,National,2
2018-2019 : Fall,University of Dubai,Female,National,45
2018-2019 : Fall,University of Dubai,Female,Non-National,17
2018-2019 : Spring,University of Dubai,Female,Non-National,8
2019-2020 : Summer 1,University of Dubai,Female,Non-National,1
2020-2021 : Fall,University of Dubai,Female,National,37
2020-2021 : Fall,University of Dubai,Female,Non-National,16
2020-2021 : Spring,University of Dubai,Female,Non-National,3
2020-2021 : Summer 1,University of Dubai,Female,National,6
2020-2021 : Summer 1,University of Dubai,Female,Non-National,3
2020-2021 : Winter,University of Dubai,Female,National,4
2021-2022 : Fall,University of Dubai,Female,National,21
2021-2022 : Fall,University of Dubai,Female,Non-National,11
2021-2022 : Winter,University of Dubai,Female,Non-National,1
2022-2023 : Spring,University of Dubai,Female,National,27
2022-2023 : Spring,University of Dubai,Female,Non-National,14
2012-2013 : Spring,University of Fujairah,Female,National,5
2013-2014 : Fall,University of Fujairah,Female,National,30
2013-2014 : Fall,University of Fujairah,Female,Non-National,14
2013-2014 : Spring,University of Fujairah,Female,National,19
2013-2014 : Spring,University of Fujairah,Female,Non-National,7
2014-2015 : Fall,University of Fujairah,Female,National,19
2014-2015 : Fall,University of Fujairah,Female,Non-National,15
2014-2015 : Spring,University of Fujairah,Female,National,8
2014-2015 : Spring,University of Fujairah,Female,Non-National,2
2015-2016 : Fall,University of Fujairah,Female,National,10
2015-2016 : Fall,University of Fujairah,Female,Non-National,5
2015-2016 : Spring,University of Fujairah,Female,Non-National,3
2016-2017 : Fall,University of Fujairah,Female,National,15
2016-2017 : Fall,University of Fujairah,Female,Non-National,12
2016-2017 : Spring,University of Fujairah,Female,Non-National,2
2017-2018 : Fall,University of Fujairah,Female,National,24
2017-2018 : Fall,University of Fujairah,Female,Non-National,4
2018-2019 : Spring,University of Fujairah,Female,National,15
2018-2019 : Spring,University of Fujairah,Female,Non-National,2
2019-2020 : Fall,University of Fujairah,Female,National,24
2019-2020 : Fall,University of Fujairah,Female,Non-National,16
2019-2020 : Spring,University of Fujairah,Female,National,12
2019-2020 : Spring,University of Fujairah,Female,Non-National,1
2020-2021 : Fall,University of Fujairah,Female,National,15
2020-2021 : Fall,University of Fujairah,Female,Non-National,14
2020-2021 : Spring,University of Fujairah,Female,Non-National,2
2021-2022 : Fall,University of Fujairah,Female,Non-National,62
2021-2022 : Winter,University of Fujairah,Female,National,12
2019-2020 : Fall,Zayed University,Female,National,1529
2019-2020 : Fall,Zayed University,Female,Non-National,28
2019-2020 : Spring,Zayed University,Female,National,253
2019-2020 : Spring,Zayed University,Female,Non-National,19
2020-2021 : Fall,Zayed University,Female,National,1707
2021-2022 : Spring,Zayed University,Female,National,338
2021-2022 : Spring,Zayed University,Female,Non-National,7
2022-2023 : Fall,Zayed University,Female,National,485
2022-2023 : Fall,Zayed University,Female,Non-National,10
2022-2023 : Spring,Zayed University,Female,National,237
2012-2013 : Fall,Abu Dhabi Polytechnic,Male,National,155
2012-2013 : Fall,Abu Dhabi Polytechnic,Male,Non-National,2
2012-2013 : Spring,Abu Dhabi Polytechnic,Male,National,30
2015-2016 : Fall,Abu Dhabi Polytechnic,Male,Non-National,1
2017-2018 : Fall,Abu Dhabi Polytechnic,Male,Non-National,135
2017-2018 : Winter,Abu Dhabi Polytechnic,Male,National,36
2018-2019 : Fall,Abu Dhabi Polytechnic,Male,National,171
2020-2021 : Fall,Abu Dhabi Polytechnic,Male,Non-National,5
2021-2022 : Spring,Abu Dhabi Polytechnic,Male,National,111
2021-2022 : Spring,Abu Dhabi Polytechnic,Male,Non-National,2
2022-2023 : Fall,Abu Dhabi Polytechnic,Male,National,94
2022-2023 : Fall,Abu Dhabi Polytechnic,Male,Non-National,5
2022-2023 : Spring,Abu Dhabi Polytechnic,Male,Non-National,5
2013-2014 : Spring,Abu Dhabi School of Management,Male,National,51
2017-2018 : Spring,Abu Dhabi School of Management,Male,National,29
2018-2019 : Spring,Abu Dhabi School of Management,Male,National,14
2018-2019 : Winter,Abu Dhabi School of Management,Male,National,39
2019-2020 : Fall,Abu Dhabi School of Management,Male,Non-National,5
2019-2020 : Spring,Abu Dhabi School of Management,Male,Non-National,5
2019-2020 : Summer 1,Abu Dhabi School of Management,Male,National,12
2012-2013 : Fall,Abu Dhabi University,Male,Non-National,190
2013-2014 : Fall,Abu Dhabi University,Male,National,200
2013-2014 : Spring,Abu Dhabi University,Male,National,94
2014-2015 : Fall,Abu Dhabi University,Male,National,341
2014-2015 : Fall,Abu Dhabi University,Male,Non-National,347
2014-2015 : Spring,Abu Dhabi University,Male,National,164
2015-2016 : Fall,Abu Dhabi University,Male,National,332
2015-2016 : Spring,Abu Dhabi University,Male,National,385
2015-2016 : Spring,Abu Dhabi University,Male,Non-National,164
2016-2017 : Fall,Abu Dhabi University,Male,National,311
2017-2018 : Fall,Abu Dhabi University,Male,National,253
2017-2018 : Spring,Abu Dhabi University,Male,National,102
2017-2018 : Spring,Abu Dhabi University,Male,Non-National,131
2018-2019 : Fall,Abu Dhabi University,Male,National,295
2018-2019 : Fall,Abu Dhabi University,Male,Non-National,385
2018-2019 : Spring,Abu Dhabi University,Male,National,205
2018-2019 : Spring,Abu Dhabi University,Male,Non-National,133
2018-2019 : Summer 1,Abu Dhabi University,Male,National,165
2018-2019 : Summer 1,Abu Dhabi University,Male,Non-National,11
2018-2019 : Winter,Abu Dhabi University,Male,National,142
2018-2019 : Winter,Abu Dhabi University,Male,Non-National,39
2019-2020 : Fall,Abu Dhabi University,Male,National,385
2019-2020 : Spring,Abu Dhabi University,Male,National,346
2019-2020 : Spring,Abu Dhabi University,Male,Non-National,110
2019-2020 : Summer 1,Abu Dhabi University,Male,National,154
2019-2020 : Summer 1,Abu Dhabi University,Male,Non-National,16
2020-2021 : Fall,Abu Dhabi University,Male,National,485
2020-2021 : Spring,Abu Dhabi University,Male,National,356
2021-2022 : Winter,University of Fujairah,Female,Non-National,15
2022-2023 : Fall,University of Fujairah,Female,National,55
2022-2023 : Winter,University of Fujairah,Female,National,33
2012-2013 : Fall,University of Jazeera,Female,Non-National,120
2013-2014 : Fall,University of Jazeera,Female,National,351
2014-2015 : Fall,University of Jazeera,Female,National,345
2014-2015 : Fall,University of Jazeera,Female,Non-National,84
2012-2013 : Fall,University of Modern Sciences,Female,Non-National,54
2013-2014 : Spring,University of Modern Sciences,Female,Non-National,6
2014-2015 : Spring,University of Modern Sciences,Female,Non-National,6
2015-2016 : Fall,University of Modern Sciences,Female,Non-National,5
2016-2017 : Fall,University of Modern Sciences,Female,Non-National,2
2017-2018 : Fall,University of Modern Sciences,Female,Non-National,7
2017-2018 : Spring,University of Modern Sciences,Female,National,23
2017-2018 : Spring,University of Modern Sciences,Female,Non-National,23
2020-2021 : Fall,University Of Science And Technology of Fujairah,Female,National,33
2020-2021 : Spring,University Of Science And Technology of Fujairah,Female,National,8
2020-2021 : Spring,University Of Science And Technology of Fujairah,Female,Non-National,2
2021-2022 : Fall,University Of Science And Technology of Fujairah,Female,Non-National,21
2022-2023 : Fall,University Of Science And Technology of Fujairah,Female,National,28
2012-2013 : Fall,University of Sharjah,Female,National,1066
2012-2013 : Fall,University of Sharjah,Female,Non-National,909
2012-2013 : Spring,University of Sharjah,Female,Non-National,231
2013-2014 : Spring,University of Sharjah,Female,National,74
2013-2014 : Spring,University of Sharjah,Female,Non-National,181
2014-2015 : Fall,University of Sharjah,Female,National,883
2014-2015 : Spring,University of Sharjah,Female,National,69
2014-2015 : Spring,University of Sharjah,Female,Non-National,179
2015-2016 : Fall,University of Sharjah,Female,National,968
2015-2016 : Fall,University of Sharjah,Female,Non-National,1162
2015-2016 : Spring,University of Sharjah,Female,National,95
2015-2016 : Spring,University of Sharjah,Female,Non-National,172
2017-2018 : Spring,University of Sharjah,Female,National,128
2017-2018 : Summer 1,University of Sharjah,Female,Non-National,2
2018-2019 : Spring,University of Sharjah,Female,National,185
2018-2019 : Summer 1,University of Sharjah,Female,National,3
2019-2020 : Fall,University of Sharjah,Female,National,1471
2019-2020 : Fall,University of Sharjah,Female,Non-National,1172
2019-2020 : Spring,University of Sharjah,Female,National,217
2019-2020 : Spring,University of Sharjah,Female,Non-National,183
2019-2020 : Summer 1,University of Sharjah,Female,National,1
2020-2021 : Fall,University of Sharjah,Female,National,1414
2020-2021 : Fall,University of Sharjah,Female,Non-National,951
2020-2021 : Spring,University of Sharjah,Female,National,237
2021-2022 : Spring,University of Sharjah,Female,National,142
2021-2022 : Spring,University of Sharjah,Female,Non-National,179
2022-2023 : Fall,University of Sharjah,Female,National,1173
2022-2023 : Fall,University of Sharjah,Female,Non-National,977
2012-2013 : Fall,University of Strathclyde Business School- UAE,Female,National,2
2012-2013 : Fall,University of Strathclyde Business School- UAE,Female,Non-National,8
2012-2013 : Spring,University of Strathclyde Business School- UAE,Female,Non-National,11
2013-2014 : Spring,University of Strathclyde Business School- UAE,Female,National,2
2020-2021 : Spring,Abu Dhabi University,Male,Non-National,91
2020-2021 : Summer 1,Abu Dhabi University,Male,National,379
2021-2022 : Fall,Abu Dhabi University,Male,National,465
2021-2022 : Spring,Abu Dhabi University,Male,Non-National,73
2021-2022 : Summer 1,Abu Dhabi University,Male,National,63
2021-2022 : Summer 1,Abu Dhabi University,Male,Non-National,14
2021-2022 : Winter,Abu Dhabi University,Male,National,505
2021-2022 : Winter,Abu Dhabi University,Male,Non-National,43
2022-2023 : Fall,Abu Dhabi University,Male,Non-National,331
2012-2013 : Fall,Abu Dhabi Vocational Education & Training Institute,Male,Non-National,2
2013-2014 : Fall,Abu Dhabi Vocational Education & Training Institute,Male,National,61
2013-2014 : Spring,Abu Dhabi Vocational Education & Training Institute,Male,Non-National,2
2014-2015 : Fall,Abu Dhabi Vocational Education & Training Institute,Male,National,66
2015-2016 : Fall,Abu Dhabi Vocational Education & Training Institute,Male,National,407
2015-2016 : Fall,Abu Dhabi Vocational Education & Training Institute,Male,Non-National,2
2015-2016 : Spring,Abu Dhabi Vocational Education & Training Institute,Male,National,137
2017-2018 : Fall,Abu Dhabi Vocational Education & Training Institute,Male,National,79
2018-2019 : Spring,Abu Dhabi Vocational Education & Training Institute,Male,National,128
2018-2019 : Spring,Abu Dhabi Vocational Education & Training Institute,Male,Non-National,1
2019-2020 : Fall,Abu Dhabi Vocational Education & Training Institute,Male,Non-National,6
2019-2020 : Spring,Abu Dhabi Vocational Education & Training Institute,Male,Non-National,3
2020-2021 : Fall,Abu Dhabi Vocational Education & Training Institute,Male,Non-National,23
2020-2021 : Spring,Abu Dhabi Vocational Education & Training Institute,Male,National,148
2020-2021 : Spring,Abu Dhabi Vocational Education & Training Institute,Male,Non-National,24
2021-2022 : Fall,Abu Dhabi Vocational Education & Training Institute,Male,National,10
2021-2022 : Spring,Abu Dhabi Vocational Education & Training Institute,Male,Non-National,179
2012-2013 : Fall,Ajman University,Male,National,352
2012-2013 : Fall,Ajman University,Male,Non-National,635
2012-2013 : Spring,Ajman University,Male,National,84
2012-2013 : Spring,Ajman University,Male,Non-National,244
2013-2014 : Fall,Ajman University,Male,Non-National,677
2013-2014 : Spring,Ajman University,Male,National,72
2014-2015 : Spring,Ajman University,Male,National,44
2015-2016 : Fall,Ajman University,Male,National,103
2015-2016 : Spring,Ajman University,Male,National,49
2015-2016 : Spring,Ajman University,Male,Non-National,155
2016-2017 : Fall,Ajman University,Male,Non-National,578
2016-2017 : Spring,Ajman University,Male,Non-National,134
2018-2019 : Fall,Ajman University,Male,Non-National,478
2018-2019 : Spring,Ajman University,Male,Non-National,86
2019-2020 : Fall,Ajman University,Male,National,147
2019-2020 : Fall,Ajman University,Male,Non-National,525
2019-2020 : Spring,Ajman University,Male,National,42
2020-2021 : Fall,Ajman University,Male,National,142
2021-2022 : Fall,Ajman University,Male,Non-National,391
2021-2022 : Spring,Ajman University,Male,National,30
2021-2022 : Spring,Ajman University,Male,Non-National,72
2021-2022 : Summer 1,Ajman University,Male,Non-National,1
2022-2023 : Fall,Ajman University,Male,National,78
2022-2023 : Fall,Ajman University,Male,Non-National,460
2012-2013 : Spring,Al Ain University of Science and Technology,Male,National,208
2012-2013 : Spring,Al Ain University of Science and Technology,Male,Non-National,57
2015-2016 : Fall,University of Strathclyde Business School- UAE,Female,National,3
2016-2017 : Fall,University of Strathclyde Business School- UAE,Female,Non-National,3
2016-2017 : Spring,University of Strathclyde Business School- UAE,Female,Non-National,7
2017-2018 : Fall,University of Strathclyde Business School- UAE,Female,Non-National,9
2019-2020 : Fall,University of Strathclyde Business School- UAE,Female,Non-National,1
2019-2020 : Spring,University of Strathclyde Business School- UAE,Female,Non-National,1
2021-2022 : Spring,University of Strathclyde Business School- UAE,Female,Non-National,4
2022-2023 : Fall,University of Strathclyde Business School- UAE,Female,Non-National,5
2012-2013 : Fall,University of Wollongong in Dubai,Female,Non-National,292
2013-2014 : Fall,University of Wollongong in Dubai,Female,National,47
2013-2014 : Spring,University of Wollongong in Dubai,Female,National,32
2014-2015 : Fall,University of Wollongong in Dubai,Female,National,48
2014-2015 : Fall,University of Wollongong in Dubai,Female,Non-National,349
2014-2015 : Spring,University of Wollongong in Dubai,Female,National,15
2014-2015 : Spring,University of Wollongong in Dubai,Female,Non-National,100
2015-2016 : Fall,University of Wollongong in Dubai,Female,Non-National,235
2015-2016 : Spring,University of Wollongong in Dubai,Female,National,19
2015-2016 : Spring,University of Wollongong in Dubai,Female,Non-National,125
2017-2018 : Fall,University of Wollongong in Dubai,Female,National,8
2017-2018 : Spring,University of Wollongong in Dubai,Female,National,17
2017-2018 : Spring,University of Wollongong in Dubai,Female,Non-National,76
2018-2019 : Spring,University of Wollongong in Dubai,Female,National,18
2018-2019 : Spring,University of Wollongong in Dubai,Female,Non-National,86
2018-2019 : Summer 1,University of Wollongong in Dubai,Female,National,4
2018-2019 : Summer 1,University of Wollongong in Dubai,Female,Non-National,45
2019-2020 : Fall,University of Wollongong in Dubai,Female,Non-National,328
2019-2020 : Spring,University of Wollongong in Dubai,Female,Non-National,150
2020-2021 : Fall,University of Wollongong in Dubai,Female,National,46
2020-2021 : Spring,University of Wollongong in Dubai,Female,National,12
2020-2021 : Spring,University of Wollongong in Dubai,Female,Non-National,43
2020-2021 : Summer 1,University of Wollongong in Dubai,Female,National,3
2020-2021 : Winter,University of Wollongong in Dubai,Female,Non-National,96
2021-2022 : Fall,University of Wollongong in Dubai,Female,National,32
2021-2022 : Spring,University of Wollongong in Dubai,Female,Non-National,46
2021-2022 : Winter,University of Wollongong in Dubai,Female,National,13
2021-2022 : Winter,University of Wollongong in Dubai,Female,Non-National,100
2022-2023 : Fall,University of Wollongong in Dubai,Female,Non-National,366
2014-2015 : Spring,University Saint-Joseph,Female,Non-National,1
2015-2016 : Fall,University Saint-Joseph,Female,Non-National,5
2016-2017 : Fall,University Saint-Joseph,Female,National,12
2016-2017 : Fall,University Saint-Joseph,Female,Non-National,4
2017-2018 : Fall,University Saint-Joseph,Female,Non-National,16
2017-2018 : Spring,University Saint-Joseph,Female,National,4
2018-2019 : Fall,University Saint-Joseph,Female,National,9
2019-2020 : Spring,University Saint-Joseph,Female,Non-National,6
2020-2021 : Fall,University Saint-Joseph,Female,Non-National,3
2020-2021 : Spring,University Saint-Joseph,Female,Non-National,1
2013-2014 : Fall,Al Ain University of Science and Technology,Male,National,380
2013-2014 : Fall,Al Ain University of Science and Technology,Male,Non-National,172
2013-2014 : Spring,Al Ain University of Science and Technology,Male,National,253
2013-2014 : Spring,Al Ain University of Science and Technology,Male,Non-National,85
2014-2015 : Fall,Al Ain University of Science and Technology,Male,Non-National,187
2015-2016 : Fall,Al Ain University of Science and Technology,Male,National,281
2015-2016 : Spring,Al Ain University of Science and Technology,Male,Non-National,118
2016-2017 : Fall,Al Ain University of Science and Technology,Male,National,325
2016-2017 : Fall,Al Ain University of Science and Technology,Male,Non-National,201
2016-2017 : Spring,Al Ain University of Science and Technology,Male,National,256
2016-2017 : Spring,Al Ain University of Science and Technology,Male,Non-National,66
2017-2018 : Fall,Al Ain University of Science and Technology,Male,National,208
2017-2018 : Fall,Al Ain University of Science and Technology,Male,Non-National,295
2017-2018 : Spring,Al Ain University of Science and Technology,Male,Non-National,209
2017-2018 : Summer 1,Al Ain University of Science and Technology,Male,National,58
2018-2019 : Fall,Al Ain University of Science and Technology,Male,National,329
2018-2019 : Fall,Al Ain University of Science and Technology,Male,Non-National,153
