Academic_Year,Institution_Name_EN,Institution_Emirate_AR,Institution_Emirate_EN,Sector_AR,Sector_EN,Nationality_EN,Profession_Type_EN,Profession_Type_AR,Total
2018-2019,UNIVERSITY OF MODERN SCIENCES,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,8
2018-2019,UNIVERSITY OF SHARJAH,الشارقة,Sharjah,شبه حكومية,Semi Government,Non-National,Admin,إداري,1479
2018-2019,UNIVERSITY OF WOLLONGONG IN DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,163
2018-2019,ZAYED UNIVERSITY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,225
2018-2019,ZAYED UNIVERSITY,دبي,Dubai,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,322
2019-2020,ABU DHABI POLYTECHNIC,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,95
2019-2020,ABU DHABI SCHOOL OF MANAGEMENT,أبوظبي,Abu Dhabi,شبه حكومية,Semi Government,Non-National,Admin,إداري,42
2019-2020,ABU DHABI UNIVERSITY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,267
2019-2020,ABU DHABI UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,10
2019-2020,ABU DHABI VOCATIONAL EDUCATION AND TRAINING INSTITUTE,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,171
2019-2020,AJMAN UNIVERSITY ,عجمان,Ajman,خاصة,Private,Non-National,Admin,إداري,546
2019-2020,AL AIN UNIVERSITY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,215
2019-2020,AL DAR UNIVERSITY COLLEGE,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,81
2019-2020,AL FALAH UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,50
2019-2020,AL GHURAIR UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,71
2019-2020,AL KHAWARIZMI INTERNATIONAL COLLEGE,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,122
2019-2020,AL WASL UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,67
2019-2020,AMERICAN COLLEGE OF DUBAI,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,35
2019-2020,AMERICAN UNIVERSITY IN DUBAI,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,232
2019-2020,AMERICAN UNIVERSITY IN THE EMIRATES,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,134
2019-2020,AMERICAN UNIVERSITY OF RAS AL KHAIMAH,رأس الخيمة,Ras Al Khaima,حكومة محلية,Local Government,Non-National,Admin,إداري,131
2019-2020,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Admin,إداري,777
2019-2020,ANWAR GARGASH DIPLOMATIC ACADEMY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,36
2019-2020,BRITISH UNIVERSITY IN DUBAI,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,41
2019-2020,CANADIAN UNIVERSITY DUBAI,خارج الدولة ,Outside of UAE ,خاصة,Private,Non-National,Admin,إداري,2
2019-2020,CANADIAN UNIVERSITY DUBAI,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,105
2019-2020,CITY UNIVERSITY AJMAN,عجمان,Ajman,خاصة,Private,Non-National,Admin,إداري,8
2019-2020,DUBAI INSTITUTE OF DESIGN AND INNOVATION,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,10
2019-2020,DUBAI MEDICAL COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,17
2019-2020,DUBAI PHARMACY COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,25
2019-2020,EMIRATES ACADEMY FOR IDENTITY & CITIZENSHIP,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,43
2019-2020,EMIRATES ACADEMY OF HOSPITALITY MANAGEMENT,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,74
2019-2020,EMIRATES AVIATION UNIVERSITY,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,60
2019-2020,EMIRATES COLLEGE FOR ADVANCED EDUCATION,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,74
2019-2020,EMIRATES COLLEGE FOR MANAGEMENT AND INFORMATION TECHNOLOGY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,12
2019-2020,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,11
2019-2020,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Admin,إداري,29
2019-2020,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,9
2019-2020,EUROPEAN INTERNATIONAL COLLEGE,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,9
2019-2020,EUROPEAN UNIVERSITY COLLEGE,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,37
2019-2020,FATIMA COLLEGE OF HEALTH SCIENCES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,59
2019-2020,FATIMA COLLEGE OF HEALTH SCIENCES,عجمان,Ajman,حكومة محلية,Local Government,Non-National,Admin,إداري,8
2019-2020,GULF MEDICAL UNIVERSITY,عجمان,Ajman,خاصة,Private,Non-National,Admin,إداري,183
2019-2020,HAMDAN BIN MOHAMMED  SMART UNIVERSITY,دبي,Dubai,شبه حكومية,Semi Government,Non-National,Admin,إداري,111
2019-2020,HIGHER COLLEGES OF TECHNOLOGY,NULL,NULL,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,243
2019-2020,HIGHER COLLEGES OF TECHNOLOGY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,282
2019-2020,HIGHER COLLEGES OF TECHNOLOGY,الشارقة,Sharjah,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,138
2019-2020,HIGHER COLLEGES OF TECHNOLOGY,الفجيرة,Fujairah,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,81
2019-2020,HIGHER COLLEGES OF TECHNOLOGY,دبي,Dubai,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,150
2019-2020,HIGHER COLLEGES OF TECHNOLOGY,رأس الخيمة,Ras Al Khaima,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,84
2019-2020,IMAM MALIK COLLEGE FOR ISLAMIC SHARIA AND LAW,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,59
2019-2020,INSTITUTE OF MANAGEMENT TECHNOLOGY-DUBAI,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,94
2019-2020,JUMEIRA UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,48
2019-2020,KHALIFA UNIVERSITY,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,803
2019-2020,LIWA COLLEGE OF TECHNOLOGY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,123
2019-2020,MENA COLLEGE OF MANAGEMENT,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,18
2019-2020,MOHAMED BIN ZAYED UNIVERSITY FOR HUMANITIES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,46
2019-2020,MOHAMED BIN ZAYED UNIVERSITY FOR HUMANITIES,عجمان,Ajman,حكومة محلية,Local Government,Non-National,Admin,إداري,13
2019-2020,MOHAMMED BIN RASHID SCHOOL OF GOVERNMENT,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,62
2019-2020,MOHAMMED BIN RASHID UNIVERSITY OF MEDICINE AND HEALTH SCIENCES,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,98
2019-2020,NEW YORK INSTITUTE OF TECHNOLOGY,أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,7
2019-2020,"NEW YORK UNIVERSITY, ABU DHABI",أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,971
2019-2020,RABDAN ACADEMY,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,116
2019-2020,RAS AL KHAIMAH MEDICAL AND HEALTH SCIENCES UNIVERSITY,رأس الخيمة,Ras Al Khaima,حكومة محلية,Local Government,Non-National,Admin,إداري,114
