Academic_Year,Institution_Name_EN,Institution_Emirate_AR,Institution_Emirate_EN,Sector_AR,Sector_EN,Nationality_EN,Profession_Type_EN,Profession_Type_AR,Total
2020-2021,ABU DHABI VOCATIONAL EDUCATION AND TRAINING INSTITUTE,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,141
2020-2021,AJMAN UNIVERSITY ,عجمان,Ajman,خاصة,Private,Non-National,Admin,إداري,326
2020-2021,AL AIN UNIVERSITY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,230
2020-2021,AL DAR UNIVERSITY COLLEGE,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,65
2020-2021,AL FALAH UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,57
2020-2021,AL GHURAIR UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,51
2020-2021,AL KHAWARIZMI INTERNATIONAL COLLEGE,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,71
2020-2021,AL QASIMIYA UNIVERSITY,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Admin,إداري,158
2020-2021,AL WASL UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,54
2020-2021,AMERICAN COLLEGE OF DUBAI,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,20
2020-2021,AMERICAN UNIVERSITY IN DUBAI,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,139
2020-2021,AMERICAN UNIVERSITY IN THE EMIRATES,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,94
2020-2021,AMERICAN UNIVERSITY OF RAS AL KHAIMAH,رأس الخيمة,Ras Al Khaima,حكومة محلية,Local Government,Non-National,Admin,إداري,107
2020-2021,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Admin,إداري,543
2020-2021,ANWAR GARGASH DIPLOMATIC ACADEMY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,38
2020-2021,"ARAB ACADEMY FOR SCIENCE, TECHNOLOGY AND MARITIME TRANSPORT ",الشارقة,Sharjah,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,51
2020-2021,BRITISH UNIVERSITY IN DUBAI,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,45
2020-2021,CANADIAN UNIVERSITY DUBAI,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,125
2020-2021,CITY UNIVERSITY AJMAN,عجمان,Ajman,خاصة,Private,Non-National,Admin,إداري,87
2020-2021,DUBAI INSTITUTE OF DESIGN AND INNOVATION,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,13
2020-2021,DUBAI MEDICAL COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,92
2020-2021,DUBAI PHARMACY COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,21
2020-2021,EMIRATES ACADEMY FOR IDENTITY & CITIZENSHIP,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,43
2020-2021,EMIRATES ACADEMY OF HOSPITALITY MANAGEMENT,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,39
2020-2021,EMIRATES AVIATION UNIVERSITY,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,46
2020-2021,EMIRATES COLLEGE FOR ADVANCED EDUCATION,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,72
2020-2021,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,9
2020-2021,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Admin,إداري,23
2020-2021,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,7
2020-2021,EUROPEAN UNIVERSITY COLLEGE,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,34
2020-2021,FATIMA COLLEGE OF HEALTH SCIENCES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,73
2020-2021,FATIMA COLLEGE OF HEALTH SCIENCES,عجمان,Ajman,حكومة محلية,Local Government,Non-National,Admin,إداري,22
2020-2021,GULF MEDICAL UNIVERSITY,عجمان,Ajman,خاصة,Private,Non-National,Admin,إداري,97
2020-2021,HAMDAN BIN MOHAMMED  SMART UNIVERSITY,دبي,Dubai,شبه حكومية,Semi Government,Non-National,Admin,إداري,99
2020-2021,HIGHER COLLEGES OF TECHNOLOGY,NULL,NULL,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,225
2020-2021,HIGHER COLLEGES OF TECHNOLOGY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,231
2020-2021,HIGHER COLLEGES OF TECHNOLOGY,الشارقة,Sharjah,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,129
2020-2021,HIGHER COLLEGES OF TECHNOLOGY,الفجيرة,Fujairah,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,74
2020-2021,HIGHER COLLEGES OF TECHNOLOGY,دبي,Dubai,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,131
2020-2021,HIGHER COLLEGES OF TECHNOLOGY,رأس الخيمة,Ras Al Khaima,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,76
2020-2021,IMAM MALIK COLLEGE FOR ISLAMIC SHARIA AND LAW,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,42
2020-2021,INSTITUTE OF MANAGEMENT TECHNOLOGY-DUBAI,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,83
2020-2021,JUMEIRA UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,34
2020-2021,KHALIFA UNIVERSITY,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,777
2020-2021,LIWA COLLEGE OF TECHNOLOGY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,81
2020-2021,MENA COLLEGE OF MANAGEMENT,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,23
2020-2021,MOHAMED BIN ZAYED UNIVERSITY FOR HUMANITIES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,96
2020-2021,MOHAMED BIN ZAYED UNIVERSITY FOR HUMANITIES,عجمان,Ajman,حكومة محلية,Local Government,Non-National,Admin,إداري,11
2020-2021,MOHAMED BIN ZAYED UNIVERSITY OF ARTIFICIAL INTELLIGENCE,أبوظبي,Abu Dhabi,شبه حكومية,Semi Government,Non-National,Admin,إداري,74
2020-2021,MOHAMMED BIN RASHID SCHOOL OF GOVERNMENT,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,57
2020-2021,MOHAMMED BIN RASHID UNIVERSITY OF MEDICINE AND HEALTH SCIENCES,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,116
2020-2021,NEW YORK INSTITUTE OF TECHNOLOGY,أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,6
2020-2021,"NEW YORK UNIVERSITY, ABU DHABI",أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,1158
2020-2021,RABDAN ACADEMY,NULL,NULL,حكومة محلية,Local Government,Non-National,Admin,إداري,1
2020-2021,RABDAN ACADEMY,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,114
2020-2021,RAS AL KHAIMAH MEDICAL AND HEALTH SCIENCES UNIVERSITY,رأس الخيمة,Ras Al Khaima,حكومة محلية,Local Government,Non-National,Admin,إداري,101
2020-2021,ROCHESTER INSTITUTE OF TECHNOLOGY- DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,49
2020-2021,ROYAL COLLEGE OF SURGEONS IN IRELAND- DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,6
2020-2021,SAINT JOSEPH UNIVERSITY DUBAI,NULL,NULL,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,4
2020-2021,SAINT JOSEPH UNIVERSITY DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,5
2020-2021,SKYLINE UNIVERSITY COLLEGE,الشارقة,Sharjah,خاصة,Private,Non-National,Admin,إداري,96
2020-2021,"SORBONNE UNIVERSITY, ABU DHABI",أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,219
2020-2021,UMM AL QUWAIN UNIVERSITY,أم القيوين,Umm Al Quwain,حكومة محلية,Local Government,Non-National,Admin,إداري,31
2020-2021,UNITED ARAB EMIRATES  UNIVERSITY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,1548
2020-2021,UNIVERSITY COLLEGE OF MOTHER AND FAMILY SCIENCES,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,1
2020-2021,UNIVERSITY COLLEGE OF MOTHER AND FAMILY SCIENCES,عجمان,Ajman,خاصة,Private,Non-National,Admin,إداري,30
2020-2021,UNIVERSITY OF BALAMAND IN DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,12
2020-2021,UNIVERSITY OF DUBAI,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,79
2020-2021,UNIVERSITY OF FUJAIRAH,الفجيرة,Fujairah,شبه حكومية,Semi Government,Non-National,Admin,إداري,25
2020-2021,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF FUJAIRAH,الفجيرة,Fujairah,خاصة,Private,Non-National,Admin,إداري,103
2020-2021,UNIVERSITY OF SHARJAH,الشارقة,Sharjah,شبه حكومية,Semi Government,Non-National,Admin,إداري,1406
2020-2021,UNIVERSITY OF STRATHCLYDE BUSINESS SCHOOL- UAE,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,3
2020-2021,UNIVERSITY OF WOLLONGONG IN DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,124
2020-2021,ZAYED UNIVERSITY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,240
2020-2021,ZAYED UNIVERSITY,دبي,Dubai,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,329
2021-2022,ABU DHABI POLYTECHNIC,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,73
2021-2022,ABU DHABI SCHOOL OF MANAGEMENT,أبوظبي,Abu Dhabi,شبه حكومية,Semi Government,Non-National,Admin,إداري,61
2021-2022,ABU DHABI UNIVERSITY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,265
2021-2022,ABU DHABI UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,6
2021-2022,ABU DHABI VOCATIONAL EDUCATION AND TRAINING INSTITUTE,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,89
2021-2022,AJMAN UNIVERSITY ,عجمان,Ajman,خاصة,Private,Non-National,Admin,إداري,323
2021-2022,AL AIN UNIVERSITY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,244
2021-2022,AL DAR UNIVERSITY COLLEGE,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,35
2021-2022,AL FALAH UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,46
2021-2022,AL GHURAIR UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,34
2021-2022,AL KHAWARIZMI INTERNATIONAL COLLEGE,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,61
2021-2022,AL QASIMIYA UNIVERSITY,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Admin,إداري,181
2021-2022,AL WASL UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,60
2021-2022,AMERICAN UNIVERSITY IN DUBAI,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,237
2021-2022,AMERICAN UNIVERSITY IN THE EMIRATES,NULL,NULL,خاصة,Private,Non-National,Admin,إداري,12
2021-2022,AMERICAN UNIVERSITY IN THE EMIRATES,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,145
2021-2022,AMERICAN UNIVERSITY OF RAS AL KHAIMAH,رأس الخيمة,Ras Al Khaima,حكومة محلية,Local Government,Non-National,Admin,إداري,112
2021-2022,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Admin,إداري,695
2021-2022,ANWAR GARGASH DIPLOMATIC ACADEMY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,45
2021-2022,"ARAB ACADEMY FOR SCIENCE, TECHNOLOGY AND MARITIME TRANSPORT ",الشارقة,Sharjah,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,53
2021-2022,BRITISH UNIVERSITY IN DUBAI,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,44
2021-2022,CANADIAN UNIVERSITY DUBAI,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,152
2021-2022,CITY UNIVERSITY AJMAN,عجمان,Ajman,خاصة,Private,Non-National,Admin,إداري,91
2021-2022,DUBAI INSTITUTE OF DESIGN AND INNOVATION,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,14
2021-2022,DUBAI MEDICAL COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,92
2021-2022,DUBAI PHARMACY COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,27
2021-2022,EMIRATES ACADEMY FOR IDENTITY & CITIZENSHIP,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,46
2021-2022,EMIRATES ACADEMY OF HOSPITALITY MANAGEMENT,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,38
2021-2022,EMIRATES AVIATION UNIVERSITY,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,48
2021-2022,EMIRATES COLLEGE FOR ADVANCED EDUCATION,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,63
2021-2022,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,9
2021-2022,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Admin,إداري,21
2021-2022,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,7
2021-2022,EUROPEAN UNIVERSITY COLLEGE,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,34
2021-2022,FATIMA COLLEGE OF HEALTH SCIENCES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,72
2021-2022,FATIMA COLLEGE OF HEALTH SCIENCES,عجمان,Ajman,حكومة محلية,Local Government,Non-National,Admin,إداري,14
2021-2022,GULF MEDICAL UNIVERSITY,عجمان,Ajman,خاصة,Private,Non-National,Admin,إداري,98
2021-2022,HAMDAN BIN MOHAMMED  SMART UNIVERSITY,دبي,Dubai,شبه حكومية,Semi Government,Non-National,Admin,إداري,99
2021-2022,HIGHER COLLEGES OF TECHNOLOGY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,472
2021-2022,HIGHER COLLEGES OF TECHNOLOGY,الشارقة,Sharjah,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,117
2021-2022,HIGHER COLLEGES OF TECHNOLOGY,الفجيرة,Fujairah,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,73
2021-2022,HIGHER COLLEGES OF TECHNOLOGY,دبي,Dubai,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,126
2021-2022,HIGHER COLLEGES OF TECHNOLOGY,رأس الخيمة,Ras Al Khaima,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,81
2021-2022,IMAM MALIK COLLEGE FOR ISLAMIC SHARIA AND LAW,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,37
2021-2022,INSTITUTE OF MANAGEMENT TECHNOLOGY-DUBAI,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,49
2021-2022,JUMEIRA UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,41
2021-2022,KHALIFA UNIVERSITY,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,821
2021-2022,LIWA COLLEGE OF TECHNOLOGY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,88
2021-2022,MOHAMED BIN ZAYED UNIVERSITY FOR HUMANITIES,NULL,NULL,حكومة محلية,Local Government,Non-National,Admin,إداري,2
2021-2022,MOHAMED BIN ZAYED UNIVERSITY FOR HUMANITIES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,105
2021-2022,MOHAMED BIN ZAYED UNIVERSITY FOR HUMANITIES,عجمان,Ajman,حكومة محلية,Local Government,Non-National,Admin,إداري,18
2021-2022,MOHAMED BIN ZAYED UNIVERSITY OF ARTIFICIAL INTELLIGENCE,NULL,NULL,شبه حكومية,Semi Government,Non-National,Admin,إداري,34
2021-2022,MOHAMED BIN ZAYED UNIVERSITY OF ARTIFICIAL INTELLIGENCE,أبوظبي,Abu Dhabi,شبه حكومية,Semi Government,Non-National,Admin,إداري,151
2021-2022,MOHAMMED BIN RASHID SCHOOL OF GOVERNMENT,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,47
2021-2022,MOHAMMED BIN RASHID UNIVERSITY OF MEDICINE AND HEALTH SCIENCES,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,140
2021-2022,"NEW YORK UNIVERSITY, ABU DHABI",أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,1240
2021-2022,RABDAN ACADEMY,NULL,NULL,حكومة محلية,Local Government,Non-National,Admin,إداري,1
2021-2022,RABDAN ACADEMY,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,149
2021-2022,RAS AL KHAIMAH MEDICAL AND HEALTH SCIENCES UNIVERSITY,الفجيرة,Fujairah,حكومة محلية,Local Government,Non-National,Admin,إداري,1
2021-2022,RAS AL KHAIMAH MEDICAL AND HEALTH SCIENCES UNIVERSITY,رأس الخيمة,Ras Al Khaima,حكومة محلية,Local Government,Non-National,Admin,إداري,115
2021-2022,ROCHESTER INSTITUTE OF TECHNOLOGY- DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,57
2021-2022,ROYAL COLLEGE OF SURGEONS IN IRELAND- DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,5
2021-2022,SAINT JOSEPH UNIVERSITY DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,5
2021-2022,SKYLINE UNIVERSITY COLLEGE,الشارقة,Sharjah,خاصة,Private,Non-National,Admin,إداري,92
2021-2022,"SORBONNE UNIVERSITY, ABU DHABI",أبوظبي,Abu Dhabi,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,268
2021-2022,UMM AL QUWAIN UNIVERSITY,أم القيوين,Umm Al Quwain,حكومة محلية,Local Government,Non-National,Admin,إداري,36
2021-2022,UNITED ARAB EMIRATES  UNIVERSITY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,1558
2021-2022,UNIVERSITY COLLEGE OF MOTHER AND FAMILY SCIENCES,عجمان,Ajman,خاصة,Private,Non-National,Admin,إداري,25
2021-2022,UNIVERSITY OF BALAMAND IN DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,11
2021-2022,UNIVERSITY OF DUBAI,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,87
2021-2022,UNIVERSITY OF FUJAIRAH,الفجيرة,Fujairah,شبه حكومية,Semi Government,Non-National,Admin,إداري,38
2021-2022,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF FUJAIRAH,الفجيرة,Fujairah,خاصة,Private,Non-National,Admin,إداري,95
2021-2022,UNIVERSITY OF SHARJAH,الشارقة,Sharjah,شبه حكومية,Semi Government,Non-National,Admin,إداري,1507
2021-2022,UNIVERSITY OF STRATHCLYDE BUSINESS SCHOOL- UAE,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,4
2021-2022,UNIVERSITY OF WOLLONGONG IN DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,140
2021-2022,ZAYED UNIVERSITY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,229
2021-2022,ZAYED UNIVERSITY,دبي,Dubai,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,331
2022-2023,ABU DHABI POLYTECHNIC,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,77
2022-2023,ABU DHABI SCHOOL OF MANAGEMENT,أبوظبي,Abu Dhabi,شبه حكومية,Semi Government,Non-National,Admin,إداري,57
2022-2023,ABU DHABI UNIVERSITY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,251
2022-2023,ABU DHABI UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,5
2022-2023,ABU DHABI VOCATIONAL EDUCATION AND TRAINING INSTITUTE,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,144
2022-2023,AJMAN UNIVERSITY ,عجمان,Ajman,خاصة,Private,Non-National,Admin,إداري,323
2022-2023,AL AIN UNIVERSITY,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,264
2022-2023,AL KHAWARIZMI INTERNATIONAL COLLEGE,أبوظبي,Abu Dhabi,خاصة,Private,Non-National,Admin,إداري,62
2022-2023,AL QASIMIYA UNIVERSITY,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Admin,إداري,197
2022-2023,AL WASL UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,62
2022-2023,AMERICAN UNIVERSITY IN DUBAI,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,120
2022-2023,AMERICAN UNIVERSITY IN THE EMIRATES,NULL,NULL,خاصة,Private,Non-National,Admin,إداري,11
2022-2023,AMERICAN UNIVERSITY IN THE EMIRATES,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,165
2022-2023,AMERICAN UNIVERSITY OF RAS AL KHAIMAH,رأس الخيمة,Ras Al Khaima,حكومة محلية,Local Government,Non-National,Admin,إداري,119
2022-2023,AMERICAN UNIVERSITY OF SHARJAH,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Admin,إداري,549
2022-2023,AMITY UNIVERSITY DUBAI,دبي,Dubai,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,112
2022-2023,ANWAR GARGASH DIPLOMATIC ACADEMY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,50
2022-2023,"ARAB ACADEMY FOR SCIENCE, TECHNOLOGY AND MARITIME TRANSPORT ",الشارقة,Sharjah,فرع مؤسسة دولية,Branch of International Institution,Non-National,Admin,إداري,81
2022-2023,BRITISH UNIVERSITY IN DUBAI,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,46
2022-2023,CANADIAN UNIVERSITY DUBAI,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,130
2022-2023,CITY UNIVERSITY AJMAN,عجمان,Ajman,خاصة,Private,Non-National,Admin,إداري,108
2022-2023,DUBAI INSTITUTE OF DESIGN AND INNOVATION,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,19
2022-2023,DUBAI MEDICAL COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,106
2022-2023,DUBAI PHARMACY COLLEGE FOR GIRLS,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,28
2022-2023,EMIRATES ACADEMY FOR IDENTITY & CITIZENSHIP,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,48
2022-2023,EMIRATES ACADEMY OF HOSPITALITY MANAGEMENT,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,36
2022-2023,EMIRATES AVIATION UNIVERSITY,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,42
2022-2023,EMIRATES COLLEGE FOR ADVANCED EDUCATION,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,69
2022-2023,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,9
2022-2023,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,الشارقة,Sharjah,حكومة محلية,Local Government,Non-National,Admin,إداري,21
2022-2023,EMIRATES INSTITUTE FOR BANKING AND FINANCIAL STUDIES,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,7
2022-2023,FATIMA COLLEGE OF HEALTH SCIENCES,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,74
2022-2023,FATIMA COLLEGE OF HEALTH SCIENCES,عجمان,Ajman,حكومة محلية,Local Government,Non-National,Admin,إداري,16
2022-2023,GULF MEDICAL UNIVERSITY,عجمان,Ajman,خاصة,Private,Non-National,Admin,إداري,94
2022-2023,HAMDAN BIN MOHAMMED  SMART UNIVERSITY,دبي,Dubai,شبه حكومية,Semi Government,Non-National,Admin,إداري,94
2022-2023,HIGHER COLLEGES OF TECHNOLOGY,أبوظبي,Abu Dhabi,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,466
2022-2023,HIGHER COLLEGES OF TECHNOLOGY,الشارقة,Sharjah,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,110
2022-2023,HIGHER COLLEGES OF TECHNOLOGY,الفجيرة,Fujairah,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,73
2022-2023,HIGHER COLLEGES OF TECHNOLOGY,دبي,Dubai,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,122
2022-2023,HIGHER COLLEGES OF TECHNOLOGY,رأس الخيمة,Ras Al Khaima,حكومة إتحادية,Federal Government,Non-National,Admin,إداري,81
2022-2023,IMAM MALIK COLLEGE FOR ISLAMIC SHARIA AND LAW,دبي,Dubai,حكومة محلية,Local Government,Non-National,Admin,إداري,37
2022-2023,INSTITUTE OF MANAGEMENT TECHNOLOGY-DUBAI,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,40
2022-2023,JUMEIRA UNIVERSITY,دبي,Dubai,خاصة,Private,Non-National,Admin,إداري,49
2022-2023,KHALIFA UNIVERSITY,أبوظبي,Abu Dhabi,حكومة محلية,Local Government,Non-National,Admin,إداري,840
