Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN), Region _______ _________ (AR), Region _______ _________ (EN),Cycle ______ (AR),Cycle ______ (EN),Grade ____ (AR),Grade ____ (EN),Gender _____ (AR),Gender _____ (EN),Emirati\Expat _____/____ (AR),Emirati\Expat _____/____ (EN),Pass Percentage ____ ______,Students Count ___ ______
2021-2022,_____ _______ _______,Continuous Education,___,DUBAI,____ _____,Cycle2,____ ______,Grade 7,____,Female,____,Resident,71.43%,14
2021-2022,_____ _______ _______,Continuous Education,___,DUBAI,____ _____,Cycle2,____ ______,Grade 7,___,Male,_______,Emirati,100.00%,8
2021-2022,_____ _______ _______,Continuous Education,___,DUBAI,____ _____,Cycle2,____ ______,Grade 7,___,Male,____,Resident,50.00%,12
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______,Grade 9,____,Female,_______,Emirati,100.00%,13
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______,Grade 9,____,Female,____,Resident,87.50%,24
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______,Grade 9,___,Male,_______,Emirati,96.70%,91
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______,Grade 9,___,Male,____,Resident,85.71%,21
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,_______,Emirati,82.86%,70
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,____,Resident,94.44%,36
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,_______,Emirati,94.82%,309
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,____,Resident,87.04%,54
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,_______,Emirati,75.76%,33
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,____,Resident,54.17%,24
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,_______,Emirati,88.48%,165
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,____,Resident,86.84%,38
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______,Grade 10,____,Female,_______,Emirati,83.33%,12
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______,Grade 10,____,Female,____,Resident,88.89%,18
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______,Grade 10,___,Male,_______,Emirati,78.00%,150
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle3,____ ______,Grade 10,___,Male,____,Resident,73.68%,38
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 8,____,Female,_______,Emirati,87.50%,8
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 8,____,Female,____,Resident,100.00%,3
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 8,___,Male,_______,Emirati,100.00%,36
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 8,___,Male,____,Resident,91.67%,12
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 7,____,Female,_______,Emirati,100.00%,1
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 7,____,Female,____,Resident,75.00%,8
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 7,___,Male,_______,Emirati,92.31%,13
2021-2022,_____ _______ _______,Continuous Education,___ ______,Ras Al Khaimah,____ _____,Cycle2,____ ______,Grade 7,___,Male,____,Resident,100.00%,5
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle3,____ ______,Grade 9,____,Female,_______,Emirati,83.33%,6
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle3,____ ______,Grade 9,____,Female,____,Resident,92.86%,70
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle3,____ ______,Grade 9,___,Male,_______,Emirati,92.59%,54
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle3,____ ______,Grade 9,___,Male,____,Resident,91.04%,67
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,_______,Emirati,86.05%,43
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,____,Resident,91.89%,74
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,_______,Emirati,91.47%,129
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,____,Resident,91.67%,72
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,_______,Emirati,94.74%,19
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,____,Resident,98.41%,63
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,_______,Emirati,94.44%,90
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,____,Resident,93.33%,60
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle3,____ ______,Grade 10,____,Female,_______,Emirati,68.00%,25
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle3,____ ______,Grade 10,____,Female,____,Resident,79.49%,78
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle3,____ ______,Grade 10,___,Male,_______,Emirati,85.71%,98
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle3,____ ______,Grade 10,___,Male,____,Resident,90.48%,84
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 8,____,Female,_______,Emirati,100.00%,4
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 8,____,Female,____,Resident,90.63%,32
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 8,___,Male,_______,Emirati,100.00%,20
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 8,___,Male,____,Resident,92.31%,39
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 7,____,Female,_______,Emirati,100.00%,2
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 7,____,Female,____,Resident,73.33%,15
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 7,___,Male,_______,Emirati,66.67%,12
2021-2022,_____ _______ _______,Continuous Education,_____,AJMAN,____ _____,Cycle2,____ ______,Grade 7,___,Male,____,Resident,68.18%,22
2021-2022,_____ _______ _ _______ ______ (VEDC),Vocational Education Development Centers (VEDC),______,ABU DHABI,____ _____,Cycle3,L3,L3,____,Female,_______,Emirati,0.00%,1
2021-2022,_____ _______ _ _______ ______ (VEDC),Vocational Education Development Centers (VEDC),______,ABU DHABI,____ _____,Cycle3,L3,L3,___,Male,_______,Emirati,0.00%,166
2021-2022,_____ _______ _ _______ ______ (VEDC),Vocational Education Development Centers (VEDC),______,ABU DHABI,____ _____,Cycle3,L3,L3,___,Male,____,Expat,0.00%,29
2021-2022,_____ _______ _ _______ ______ (VEDC),Vocational Education Development Centers (VEDC),______,ABU DHABI,____ _____,Cycle3,L4,L4,___,Male,_______,Emirati,0.00%,102
2021-2022,_____ _______ _ _______ ______ (VEDC),Vocational Education Development Centers (VEDC),______,ABU DHABI,____ _____,Cycle3,L4,L4,___,Male,____,Expat,0.00%,1
2021-2022,_____ _______ _ _______ ______ (VEDC),Vocational Education Development Centers (VEDC),______,ABU DHABI,____ _____,Cycle3,PY,PY,___,Male,_______,Emirati,0.00%,24
2022-2023,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ _____,Grade 1,____,Female,_______,Emirati,99.86%,718
2022-2023,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ _____,Grade 1,____,Female,____,Resident,100.00%,61
2022-2023,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ _____,Grade 1,___,Male,_______,Emirati,99.84%,622
2022-2023,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ _____,Grade 1,___,Male,____,Resident,100.00%,63
2022-2023,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 3,____,Female,_______,Emirati,100.00%,807
2022-2023,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 3,____,Female,____,Resident,100.00%,124
2022-2023,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 3,___,Male,_______,Emirati,99.86%,737
2022-2023,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 3,___,Male,____,Resident,100.00%,100
2022-2023,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 2,____,Female,_______,Emirati,99.73%,734
2022-2023,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 2,____,Female,____,Resident,100.00%,117
2022-2023,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 2,___,Male,_______,Emirati,99.86%,714
2022-2023,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 2,___,Male,____,Resident,100.00%,89
2022-2023,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 4,____,Female,_______,Emirati,99.88%,803
2022-2023,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 4,____,Female,____,Resident,100.00%,116
2022-2023,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 4,___,Male,_______,Emirati,100.00%,738
2022-2023,_______ ________,Public,_______,SHARJAH,____ ____,Cycle1,____ ______,Grade 4,___,Male,____,Resident,100.00%,119
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______,Grade 9,____,Female,_______,Emirati,88.45%,1004
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______,Grade 9,____,Female,____,Resident,98.00%,150
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______,Grade 9,___,Male,_______,Emirati,93.31%,837
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______,Grade 9,___,Male,____,Resident,91.79%,134
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,_______,Emirati,97.34%,903
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,____,Resident,98.80%,167
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,_______,Emirati,99.74%,779
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,____,Resident,100.00%,139
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,_______,Emirati,94.43%,898
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,____,Resident,98.09%,157
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,_______,Emirati,95.82%,838
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,____,Resident,98.63%,146
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______,Grade 10,____,Female,_______,Emirati,88.03%,961
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______,Grade 10,____,Female,____,Resident,95.71%,163
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______,Grade 10,___,Male,_______,Emirati,95.98%,845
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle3,____ ______,Grade 10,___,Male,____,Resident,97.71%,131
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 8,____,Female,_______,Emirati,99.18%,978
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 8,____,Female,____,Resident,100.00%,158
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 8,___,Male,_______,Emirati,98.28%,929
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 8,___,Male,____,Resident,97.66%,128
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 5,____,Female,_______,Emirati,98.04%,918
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 5,____,Female,____,Resident,98.91%,184
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 5,___,Male,_______,Emirati,98.78%,823
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 5,___,Male,____,Resident,96.18%,131
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 7,____,Female,_______,Emirati,98.00%,900
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 7,____,Female,____,Resident,99.38%,162
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 7,___,Male,_______,Emirati,97.98%,743
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 7,___,Male,____,Resident,98.57%,140
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 6,____,Female,_______,Emirati,98.75%,1041
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 6,____,Female,____,Resident,98.76%,161
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 6,___,Male,_______,Emirati,97.17%,813
2022-2023,_______ ________,Public,_______,SHARJAH,____ _____,Cycle2,____ ______,Grade 6,___,Male,____,Resident,96.85%,127
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ _____,Grade 1,____,Female,_______,Emirati,100.00%,571
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ _____,Grade 1,____,Female,____,Resident,100.00%,30
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ _____,Grade 1,___,Male,_______,Emirati,100.00%,597
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ _____,Grade 1,___,Male,____,Resident,100.00%,40
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 3,____,Female,_______,Emirati,100.00%,664
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 3,____,Female,____,Resident,100.00%,44
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 3,___,Male,_______,Emirati,100.00%,606
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 3,___,Male,____,Resident,100.00%,46
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 2,____,Female,_______,Emirati,100.00%,622
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 2,____,Female,____,Resident,100.00%,29
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 2,___,Male,_______,Emirati,100.00%,514
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 2,___,Male,____,Resident,100.00%,44
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 4,____,Female,_______,Emirati,100.00%,567
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 4,____,Female,____,Resident,100.00%,40
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 4,___,Male,_______,Emirati,100.00%,588
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,Cycle1,____ ______,Grade 4,___,Male,____,Resident,100.00%,32
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______,Grade 9,____,Female,_______,Emirati,99.69%,638
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______,Grade 9,____,Female,____,Resident,95.56%,45
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______,Grade 9,___,Male,_______,Emirati,84.55%,589
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______,Grade 9,___,Male,____,Resident,77.14%,35
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,_______,Emirati,99.65%,579
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,____,Resident,100.00%,55
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,_______,Emirati,99.35%,611
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,____,Resident,100.00%,32
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,_______,Emirati,99.06%,635
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,____,Resident,100.00%,40
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,_______,Emirati,94.64%,541
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,____,Resident,93.62%,47
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______,Grade 10,____,Female,_______,Emirati,97.75%,623
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______,Grade 10,____,Female,____,Resident,94.23%,52
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______,Grade 10,___,Male,_______,Emirati,88.20%,610
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______,Grade 10,___,Male,____,Resident,85.19%,54
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 8,____,Female,_______,Emirati,99.57%,690
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 8,____,Female,____,Resident,100.00%,48
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 8,___,Male,_______,Emirati,99.13%,690
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 8,___,Male,____,Resident,100.00%,39
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 5,____,Female,_______,Emirati,100.00%,639
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 5,____,Female,____,Resident,100.00%,47
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 5,___,Male,_______,Emirati,99.24%,660
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 5,___,Male,____,Resident,100.00%,43
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 7,____,Female,_______,Emirati,99.83%,589
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 7,____,Female,____,Resident,100.00%,43
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 7,___,Male,_______,Emirati,98.04%,561
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 7,___,Male,____,Resident,94.74%,38
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 6,____,Female,_______,Emirati,100.00%,641
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 6,____,Female,____,Resident,100.00%,50
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 6,___,Male,_______,Emirati,98.14%,699
2022-2023,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 6,___,Male,____,Resident,95.35%,43
2022-2023,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ _____,Grade 1,____,Female,_______,Emirati,100.00%,252
2022-2023,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ _____,Grade 1,____,Female,____,Resident,100.00%,92
2022-2023,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ _____,Grade 1,___,Male,_______,Emirati,100.00%,241
2022-2023,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ _____,Grade 1,___,Male,____,Resident,100.00%,65
2022-2023,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 3,____,Female,_______,Emirati,100.00%,252
2022-2023,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 3,____,Female,____,Resident,100.00%,139
2022-2023,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 3,___,Male,_______,Emirati,100.00%,253
2022-2023,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 3,___,Male,____,Resident,100.00%,132
2022-2023,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 2,____,Female,_______,Emirati,100.00%,290
2022-2023,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 2,____,Female,____,Resident,100.00%,103
2022-2023,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 2,___,Male,_______,Emirati,100.00%,253
2022-2023,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 2,___,Male,____,Resident,100.00%,86
2022-2023,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 4,____,Female,_______,Emirati,100.00%,300
2022-2023,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 4,____,Female,____,Resident,100.00%,148
2022-2023,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 4,___,Male,_______,Emirati,100.00%,259
2022-2023,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 4,___,Male,____,Resident,100.00%,130
2022-2023,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 9,____,Female,_______,Emirati,96.67%,240
2022-2023,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 9,____,Female,____,Resident,98.68%,151
2022-2023,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 9,___,Male,_______,Emirati,97.01%,201
2022-2023,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 9,___,Male,____,Resident,100.00%,166
2022-2023,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,_______,Emirati,97.39%,230
2022-2023,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,____,Resident,100.00%,170
2022-2023,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,_______,Emirati,98.90%,182
2022-2023,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,____,Resident,100.00%,177
2022-2023,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,_______,Emirati,94.48%,181
2022-2023,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,____,Resident,98.80%,167
2022-2023,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,_______,Emirati,99.36%,157
2022-2023,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,____,Resident,100.00%,141
2022-2023,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 10,____,Female,_______,Emirati,89.71%,243
2022-2023,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 10,____,Female,____,Resident,98.80%,167
2022-2023,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 10,___,Male,_______,Emirati,98.63%,219
2022-2023,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle3,____ ______,Grade 10,___,Male,____,Resident,98.42%,190
2022-2023,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 8,____,Female,_______,Emirati,98.61%,216
2022-2023,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 8,____,Female,____,Resident,100.00%,157
2022-2023,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 8,___,Male,_______,Emirati,96.94%,196
2022-2023,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 8,___,Male,____,Resident,99.35%,154
2022-2023,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 5,____,Female,_______,Emirati,99.19%,248
2022-2023,_______ ________,Public,______,AL DHAFRA,____ _____,Cycle2,____ ______,Grade 5,____,Female,____,Resident,100.00%,165
