Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN), Region _______ _________ (AR), Region _______ _________ (EN),Cycle ______ (AR),Cycle ______ (EN),Grade ____ (AR),Grade ____ (EN),Gender _____ (AR),Gender _____ (EN),Emirati\Expat _____/____ (AR),Emirati\Expat _____/____ (EN),Pass Percentage ____ ______,Students Count ___ ______
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______,Grade 9,___,Male,_______,Emirati,96.95%,524
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______,Grade 9,___,Male,____,Resident,94.44%,36
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,_______,Emirati,100.00%,574
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,____,Resident,100.00%,69
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,_______,Emirati,99.23%,521
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,____,Resident,98.21%,56
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,_______,Emirati,98.84%,601
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,____,Resident,98.21%,56
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,_______,Emirati,97.04%,575
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,____,Resident,98.11%,53
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______,Grade 10,____,Female,_______,Emirati,97.89%,568
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______,Grade 10,____,Female,____,Resident,96.23%,53
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______,Grade 10,___,Male,_______,Emirati,95.74%,610
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle3,____ ______,Grade 10,___,Male,____,Resident,92.50%,40
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 8,____,Female,_______,Emirati,98.81%,590
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 8,____,Female,____,Resident,97.56%,41
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 8,___,Male,_______,Emirati,98.63%,657
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 8,___,Male,____,Resident,98.04%,51
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 5,____,Female,_______,Emirati,99.66%,584
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 5,____,Female,____,Resident,100.00%,36
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 5,___,Male,_______,Emirati,99.62%,531
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 5,___,Male,____,Resident,100.00%,38
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 7,____,Female,_______,Emirati,98.71%,620
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 7,____,Female,____,Resident,100.00%,38
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 7,___,Male,_______,Emirati,98.87%,618
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 7,___,Male,____,Resident,100.00%,33
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 6,____,Female,_______,Emirati,99.41%,678
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 6,____,Female,____,Resident,100.00%,46
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 6,___,Male,_______,Emirati,99.12%,681
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _____,Cycle2,____ ______,Grade 6,___,Male,____,Resident,100.00%,36
2020-2021,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ _____,Grade 1,____,Female,_______,Emirati,100.00%,243
2020-2021,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ _____,Grade 1,____,Female,____,Resident,100.00%,94
2020-2021,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ _____,Grade 1,___,Male,_______,Emirati,100.00%,244
2020-2021,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ _____,Grade 1,___,Male,____,Resident,100.00%,97
2020-2021,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 3,____,Female,_______,Emirati,100.00%,233
2020-2021,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 3,____,Female,____,Resident,100.00%,132
2020-2021,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 3,___,Male,_______,Emirati,100.00%,221
2020-2021,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 3,___,Male,____,Resident,100.00%,119
2020-2021,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 2,____,Female,_______,Emirati,100.00%,284
2020-2021,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 2,____,Female,____,Resident,100.00%,121
2020-2021,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 2,___,Male,_______,Emirati,100.00%,237
2020-2021,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 2,___,Male,____,Resident,100.00%,115
2020-2021,_______ ________,Public,______,AL DHAFRA,____ ____,Cycle1,____ ______,Grade 4,____,Female,_______,Emirati,99.58%,236
