STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,MEASURE,People of Determination,CEN_TYPE,Sector,GENDER,Gender,CITIZENSHIP,Nationality,DIS_TYPE,Disability Type,AGE_GRP,Age Group,QUAL,Qualification,REF_AREA,Reference area,UNIT_MEASURE,Unit of measure,SOURCE_DETAIL,Source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,DECIMALS,Decimals,UNIT_MULT,Unit multiplier
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,LOC,Local Government,F,Female,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2022,,844,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,LOC,Local Government,F,Female,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2023,,973,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,_T,Total,M,Male,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2017,,812,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,_T,Total,M,Male,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2021,,807,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,_T,Total,M,Male,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2022,,886,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,_T,Total,M,Male,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2023,,1123,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,FED,Federal Government,F,Female,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2017,,197,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,FED,Federal Government,F,Female,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2021,,606,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,FED,Federal Government,F,Female,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2022,,228,,,,,,,
DATAFLOW,FCSA:DF_STAFF_GEN(3.4.0),Number of Staff in People of Determination Care and Rehabilitation Centers by Gender and Sector,I,A,Annual,STF,Staff,FED,Federal Government,F,Female,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,AE,UAE,NUMBER,Number,MCD,Ministry of Community Development,2023,,221,,,,,,,
